egoid,apps_all,apps_dating,apps_nondating
77,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00077
78,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00078
79,a05|a14|a17,a05|a14|a17,s00079
80,a01|a05|a17,a01|a05|a17,s00080
81,a14,a14,s00081
82,a07,s00082,a07
83,a05|a14,a05|a14,s00083
84,a14,a14,s00084
85,s00085,s00085,s00085
86,a05|a14,a05|a14,s00086
87,a05|a14|a21|a23,a05|a14|a21|a23,s00087
88,a05|a17,a05|a17,s00088
89,a05|a14|a41,a05|a14|a41,s00089
90,s00090,s00090,s00090
91,a14|a41,a14|a41,s00091
92,a05|a14|a17,a05|a14|a17,s00092
93,a12,s00093,a12
94,a05|a14,a05|a14,s00094
95,a05|a14|a18,a05|a14|a18,s00095
96,a01|a05|a17,a01|a05|a17,s00096
97,a05|a36,a05|a36,s00097
98,a05,a05,s00098
99,a05,a05,s00099
100,a05|a14,a05|a14,s00100
101,s00101,s00101,s00101
102,a05|a14,a05|a14,s00102
103,a05|a14,a05|a14,s00103
104,a05|a14,a05|a14,s00104
105,a05,a05,s00105
106,a05|a14,a05|a14,s00106
107,a05|a17,a05|a17,s00107
108,a05|a19|a34,a05|a19|a34,s00108
109,a05,a05,s00109
110,a05|a14,a05|a14,s00110
111,a17,a17,s00111
112,a14,a14,s00112
113,s00113,s00113,s00113
114,a05|a14|a17,a05|a14|a17,s00114
115,a05|a19|a34,a05|a19|a34,s00115
116,a05|a17,a05|a17,s00116
117,a05|a14|a17,a05|a14|a17,s00117
118,a01|a05|a17,a01|a05|a17,s00118
119,a05|a14|a17,a05|a14|a17,s00119
120,a05|a14|a22,a05|a14|a22,s00120
121,a05|a14,a05|a14,s00121
122,s00122,s00122,s00122
123,s00123,s00123,s00123
124,a05,a05,s00124
125,a05,a05,s00125
126,a05|a14|a16|a17,a05|a14|a16|a17,s00126
127,a05|a14|a21|a23,a05|a14|a21|a23,s00127
128,s00128,s00128,s00128
129,a05,a05,s00129
130,a05|a14|a41,a05|a14|a41,s00130
131,a05|a17,a05|a17,s00131
132,a14,a14,s00132
133,a05|a14,a05|a14,s00133
134,a05|a14|a21|a23,a05|a14|a21|a23,s00134
135,a05,a05,s00135
136,a05|a14,a05|a14,s00136
137,a07|a08|a14,a14,a07|a08
138,a05|a14|a16|a17,a05|a14|a16|a17,s00138
139,s00139,s00139,s00139
140,a05,a05,s00140
141,a05,a05,s00141
142,a05|a14|a21|a23,a05|a14|a21|a23,s00142
143,s00143,s00143,s00143
144,a05,a05,s00144
145,a14|a16,a14|a16,s00145
146,s00146,s00146,s00146
147,s00147,s00147,s00147
148,a17,a17,s00148
149,a14|a16,a14|a16,s00149
150,s00150,s00150,s00150
151,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00151
152,a05|a14,a05|a14,s00152
153,a05|a14|a60,a05|a14|a60,s00153
154,a05|a17|a36,a05|a17|a36,s00154
155,a05|a14|a17,a05|a14|a17,s00155
156,a05,a05,s00156
157,s00157,s00157,s00157
158,a14|a16,a14|a16,s00158
159,a05,a05,s00159
160,a05|a14,a05|a14,s00160
161,s00161,s00161,s00161
162,a05|a14|a34,a05|a14|a34,s00162
163,a14|a16,a14|a16,s00163
164,a14|a41,a14|a41,s00164
165,a05,a05,s00165
166,a05|a14|a22,a05|a14|a22,s00166
167,a05|a10|a14|a17,a05|a14|a17,a10
168,a05,a05,s00168
169,a05,a05,s00169
170,a05,a05,s00170
171,a14,a14,s00171
172,s00172,s00172,s00172
173,a05|a19|a34,a05|a19|a34,s00173
174,a05|a14,a05|a14,s00174
175,a05|a14|a22,a05|a14|a22,s00175
176,s00176,s00176,s00176
177,a05,a05,s00177
178,a05|a14,a05|a14,s00178
179,s00179,s00179,s00179
180,a05,a05,s00180
181,s00181,s00181,s00181
182,a05|a10|a14|a17,a05|a14|a17,a10
183,s00183,s00183,s00183
184,s00184,s00184,s00184
185,s00185,s00185,s00185
186,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00186
187,a05,a05,s00187
188,a05,a05,s00188
189,a05,a05,s00189
190,a05|a14,a05|a14,s00190
191,a05,a05,s00191
192,s00192,s00192,s00192
193,a05,a05,s00193
194,a05,a05,s00194
195,a05|a14|a16,a05|a14|a16,s00195
196,a05,a05,s00196
197,a05,a05,s00197
198,a07|a08|a14,a14,a07|a08
199,a05|a14|a16,a05|a14|a16,s00199
200,a05|a14|a60,a05|a14|a60,s00200
201,s00201,s00201,s00201
202,s00202,s00202,s00202
203,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00203
204,a05|a14,a05|a14,s00204
205,a12,s00205,a12
206,s00206,s00206,s00206
207,a05|a14|a17,a05|a14|a17,s00207
208,a05|a14,a05|a14,s00208
209,a01|a05|a17,a01|a05|a17,s00209
210,a05|a14|a18,a05|a14|a18,s00210
211,a05,a05,s00211
212,a05|a14|a16|a41,a05|a14|a16|a41,s00212
213,a05|a14,a05|a14,s00213
214,a05|a14|a18,a05|a14|a18,s00214
215,a05|a14|a21|a23,a05|a14|a21|a23,s00215
216,a05,a05,s00216
217,a05|a14,a05|a14,s00217
218,a05|a14,a05|a14,s00218
219,a05,a05,s00219
220,a07,s00220,a07
221,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00221
222,a05|a14,a05|a14,s00222
223,a05|a14|a22,a05|a14|a22,s00223
224,a01|a05|a17,a01|a05|a17,s00224
225,a05,a05,s00225
226,a17,a17,s00226
227,a07,s00227,a07
228,a05,a05,s00228
229,a05|a14|a34,a05|a14|a34,s00229
230,a05|a14,a05|a14,s00230
231,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00231
232,a14,a14,s00232
233,a05|a14,a05|a14,s00233
234,a05|a14|a21|a23,a05|a14|a21|a23,s00234
235,s00235,s00235,s00235
236,a05|a14|a16,a05|a14|a16,s00236
237,a05,a05,s00237
238,a05|a07|a10|a14,a05|a14,a07|a10
239,a05|a14|a17,a05|a14|a17,s00239
240,a05|a14,a05|a14,s00240
241,a05|a14,a05|a14,s00241
242,a05|a14,a05|a14,s00242
243,s00243,s00243,s00243
244,a05|a10|a14|a17,a05|a14|a17,a10
245,a05|a14|a21|a23,a05|a14|a21|a23,s00245
246,a05|a14,a05|a14,s00246
247,s00247,s00247,s00247
248,a05,a05,s00248
249,s00249,s00249,s00249
250,a05|a14,a05|a14,s00250
251,a14|a16,a14|a16,s00251
252,a05,a05,s00252
253,a05|a14,a05|a14,s00253
254,a14|a41,a14|a41,s00254
255,a05,a05,s00255
256,a14,a14,s00256
257,a05|a14|a16,a05|a14|a16,s00257
258,a05,a05,s00258
259,a05|a07|a10|a14,a05|a14,a07|a10
260,a05|a14|a16,a05|a14|a16,s00260
261,a05,a05,s00261
262,a05|a14|a34,a05|a14|a34,s00262
263,s00263,s00263,s00263
264,a05|a14,a05|a14,s00264
265,a05|a14|a16|a17,a05|a14|a16|a17,s00265
266,a01|a05|a17,a01|a05|a17,s00266
267,a05,a05,s00267
268,a05|a14,a05|a14,s00268
269,s00269,s00269,s00269
270,s00270,s00270,s00270
271,s00271,s00271,s00271
272,a14,a14,s00272
273,a05|a14,a05|a14,s00273
274,a05,a05,s00274
275,a17,a17,s00275
276,a05|a17,a05|a17,s00276
277,s00277,s00277,s00277
278,a12,s00278,a12
279,a05|a14,a05|a14,s00279
280,a14,a14,s00280
281,a05|a14,a05|a14,s00281
282,a05|a14,a05|a14,s00282
283,a05|a14|a16|a41,a05|a14|a16|a41,s00283
284,a05|a14,a05|a14,s00284
285,a05|a14,a05|a14,s00285
286,a05|a14,a05|a14,s00286
287,s00287,s00287,s00287
288,a05|a14,a05|a14,s00288
289,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00289
290,a05,a05,s00290
291,s00291,s00291,s00291
292,a12,s00292,a12
293,a07,s00293,a07
294,a05,a05,s00294
295,a05|a14|a17,a05|a14|a17,s00295
296,a05|a14|a34,a05|a14|a34,s00296
297,a05|a14|a22,a05|a14|a22,s00297
298,a05|a14,a05|a14,s00298
299,a05,a05,s00299
300,s00300,s00300,s00300
301,s00301,s00301,s00301
302,a05|a14,a05|a14,s00302
303,s00303,s00303,s00303
304,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00304
305,s00305,s00305,s00305
306,a05|a14|a16|a17,a05|a14|a16|a17,s00306
307,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00307
308,a17,a17,s00308
309,a05|a14|a16|a41,a05|a14|a16|a41,s00309
310,a05|a14,a05|a14,s00310
311,a05|a14|a60,a05|a14|a60,s00311
312,a05|a17|a36,a05|a17|a36,s00312
313,a05|a14|a21|a23,a05|a14|a21|a23,s00313
314,a05|a14,a05|a14,s00314
315,a05,a05,s00315
316,s00316,s00316,s00316
317,a05|a14|a16,a05|a14|a16,s00317
318,a05,a05,s00318
319,a05|a14,a05|a14,s00319
320,a05,a05,s00320
321,a05|a14|a34,a05|a14|a34,s00321
322,a05|a17|a36,a05|a17|a36,s00322
323,a05,a05,s00323
324,a05,a05,s00324
325,s00325,s00325,s00325
326,a05|a14|a34,a05|a14|a34,s00326
327,a12,s00327,a12
328,a05,a05,s00328
329,a05|a14|a34,a05|a14|a34,s00329
330,a05|a14|a41,a05|a14|a41,s00330
331,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00331
332,a05|a14,a05|a14,s00332
333,a05,a05,s00333
334,a05|a14|a16|a17,a05|a14|a16|a17,s00334
335,a05|a14,a05|a14,s00335
336,a05,a05,s00336
337,a14|a41,a14|a41,s00337
338,a05|a14|a16|a41,a05|a14|a16|a41,s00338
339,a05|a14|a22,a05|a14|a22,s00339
340,a05|a14,a05|a14,s00340
341,a01|a05|a17,a01|a05|a17,s00341
342,a05,a05,s00342
343,s00343,s00343,s00343
344,a05|a14,a05|a14,s00344
345,a14,a14,s00345
346,a14,a14,s00346
347,a05|a14|a16|a41,a05|a14|a16|a41,s00347
348,a05|a14,a05|a14,s00348
349,s00349,s00349,s00349
350,s00350,s00350,s00350
351,a05|a14,a05|a14,s00351
352,a05|a10|a14|a17,a05|a14|a17,a10
353,a05|a14|a34,a05|a14|a34,s00353
354,s00354,s00354,s00354
355,a05|a14,a05|a14,s00355
356,a17,a17,s00356
357,a14,a14,s00357
358,a05|a14,a05|a14,s00358
359,a05|a14,a05|a14,s00359
360,a05|a17|a36,a05|a17|a36,s00360
361,a05|a14,a05|a14,s00361
362,a05|a17,a05|a17,s00362
363,a01|a05|a17,a01|a05|a17,s00363
364,s00364,s00364,s00364
365,s00365,s00365,s00365
366,s00366,s00366,s00366
367,a05|a14,a05|a14,s00367
368,a05|a14|a17,a05|a14|a17,s00368
369,s00369,s00369,s00369
370,a05|a14|a16|a41,a05|a14|a16|a41,s00370
371,a05|a14,a05|a14,s00371
372,a05,a05,s00372
373,a05|a14|a17,a05|a14|a17,s00373
374,a05|a14|a60,a05|a14|a60,s00374
375,s00375,s00375,s00375
376,s00376,s00376,s00376
377,a14,a14,s00377
378,a05|a14|a16|a17,a05|a14|a16|a17,s00378
379,a05|a14,a05|a14,s00379
380,a05,a05,s00380
381,a17,a17,s00381
382,s00382,s00382,s00382
383,a05|a14|a22,a05|a14|a22,s00383
384,a05|a14,a05|a14,s00384
385,a05|a36,a05|a36,s00385
386,a05|a14,a05|a14,s00386
387,a05,a05,s00387
388,a05|a14,a05|a14,s00388
389,a14|a16,a14|a16,s00389
390,s00390,s00390,s00390
391,a05|a14|a60,a05|a14|a60,s00391
392,a05|a17,a05|a17,s00392
393,a05,a05,s00393
394,a05,a05,s00394
395,a05|a17,a05|a17,s00395
396,a14,a14,s00396
397,a05,a05,s00397
398,a14,a14,s00398
399,a14,a14,s00399
400,a07|a08|a14,a14,a07|a08
401,a05|a14,a05|a14,s00401
402,a05,a05,s00402
403,s00403,s00403,s00403
404,a05,a05,s00404
405,a14|a41,a14|a41,s00405
406,a05|a07|a10|a14,a05|a14,a07|a10
407,a05|a17|a36,a05|a17|a36,s00407
408,s00408,s00408,s00408
409,a14|a16,a14|a16,s00409
410,a05|a10|a14|a17,a05|a14|a17,a10
411,s00411,s00411,s00411
412,a05,a05,s00412
413,a05|a14|a16|a17,a05|a14|a16|a17,s00413
414,a05,a05,s00414
415,s00415,s00415,s00415
416,a05|a14|a16|a41,a05|a14|a16|a41,s00416
417,a05,a05,s00417
418,a05|a14|a21|a23,a05|a14|a21|a23,s00418
419,s00419,s00419,s00419
420,a05|a10|a14|a17,a05|a14|a17,a10
421,s00421,s00421,s00421
422,a05,a05,s00422
423,a05,a05,s00423
424,a05|a14,a05|a14,s00424
425,a05|a14,a05|a14,s00425
426,a05,a05,s00426
427,s00427,s00427,s00427
428,a14,a14,s00428
429,a05|a14,a05|a14,s00429
430,a05|a14,a05|a14,s00430
431,a14,a14,s00431
432,s00432,s00432,s00432
433,a05|a17|a36,a05|a17|a36,s00433
434,a07,s00434,a07
435,a05|a14|a22,a05|a14|a22,s00435
436,a05|a14,a05|a14,s00436
437,a05,a05,s00437
438,a05|a36,a05|a36,s00438
439,a05,a05,s00439
440,a05|a10|a14|a17,a05|a14|a17,a10
441,a05,a05,s00441
442,a05,a05,s00442
443,a05|a14|a41,a05|a14|a41,s00443
444,a05|a17,a05|a17,s00444
445,a05|a14,a05|a14,s00445
446,a05|a14,a05|a14,s00446
447,a05,a05,s00447
448,a05|a14|a17,a05|a14|a17,s00448
449,s00449,s00449,s00449
450,a05,a05,s00450
451,s00451,s00451,s00451
452,a05|a14|a41,a05|a14|a41,s00452
453,s00453,s00453,s00453
454,s00454,s00454,s00454
455,a05|a14,a05|a14,s00455
456,a05|a14|a17|a22|a34|a50,a05|a14|a17|a22|a34|a50,s00456
457,a05|a14|a17,a05|a14|a17,s00457
458,a05|a14|a16,a05|a14|a16,s00458
459,a05,a05,s00459
460,a01|a05|a17,a01|a05|a17,s00460
461,a05|a14,a05|a14,s00461
462,a05|a14|a18,a05|a14|a18,s00462
463,a05|a14|a17,a05|a14|a17,s00463
464,a14|a41,a14|a41,s00464
465,a05|a10|a14|a17,a05|a14|a17,a10
466,a17,a17,s00466
467,a05|a10|a14|a17,a05|a14|a17,a10
468,s00468,s00468,s00468
469,s00469,s00469,s00469
470,a05|a14,a05|a14,s00470
471,a05|a14,a05|a14,s00471
472,s00472,s00472,s00472
473,a05|a14,a05|a14,s00473
474,s00474,s00474,s00474
475,a05|a14,a05|a14,s00475
476,a05|a36,a05|a36,s00476
477,a05|a14,a05|a14,s00477
478,a07,s00478,a07
479,a05|a14|a16,a05|a14|a16,s00479
480,a05|a07|a10|a14,a05|a14,a07|a10
481,a05|a14|a17,a05|a14|a17,s00481
482,s00482,s00482,s00482
483,a05|a14|a21|a23,a05|a14|a21|a23,s00483
484,s00484,s00484,s00484
485,a05|a14|a17,a05|a14|a17,s00485
486,a05|a07|a10|a14,a05|a14,a07|a10
487,a05|a14,a05|a14,s00487
488,a05|a14,a05|a14,s00488
489,a05,a05,s00489
490,a05|a14|a60,a05|a14|a60,s00490
491,a05|a14,a05|a14,s00491
492,a05|a14|a16,a05|a14|a16,s00492
493,a05|a36,a05|a36,s00493
494,a05|a14|a16,a05|a14|a16,s00494
495,a05,a05,s00495
496,a05,a05,s00496
497,a05|a14,a05|a14,s00497
498,a05|a14,a05|a14,s00498
499,s00499,s00499,s00499
500,s00500,s00500,s00500
501,s00501,s00501,s00501
502,a05,a05,s00502
503,a05|a14|a16,a05|a14|a16,s00503
504,a05,a05,s00504
505,a05|a07|a10|a14,a05|a14,a07|a10
506,a05|a14,a05|a14,s00506
507,s00507,s00507,s00507
508,a05,a05,s00508
509,a05|a14,a05|a14,s00509
510,a05|a14,a05|a14,s00510
511,a05,a05,s00511
512,a05|a17|a36,a05|a17|a36,s00512
513,a05|a14|a16,a05|a14|a16,s00513
514,a14,a14,s00514
515,s00515,s00515,s00515
516,s00516,s00516,s00516
517,s00517,s00517,s00517
518,a05|a14|a21|a23,a05|a14|a21|a23,s00518
519,a14|a41,a14|a41,s00519
520,a05|a14|a22,a05|a14|a22,s00520
521,a14|a16,a14|a16,s00521
522,s00522,s00522,s00522
523,a05,a05,s00523
524,a05,a05,s00524
525,a07,s00525,a07
526,a05|a14,a05|a14,s00526
527,a05,a05,s00527
528,a05|a14,a05|a14,s00528
529,a05|a14,a05|a14,s00529
530,s00530,s00530,s00530
531,a05|a17|a36,a05|a17|a36,s00531
532,a05|a17|a36,a05|a17|a36,s00532
533,a05,a05,s00533
534,s00534,s00534,s00534
535,a05|a14,a05|a14,s00535
536,a05,a05,s00536
537,a05|a14,a05|a14,s00537
538,a05|a14,a05|a14,s00538
539,a05,a05,s00539
540,a05,a05,s00540
541,a05|a14,a05|a14,s00541
542,a05|a14|a17,a05|a14|a17,s00542
543,s00543,s00543,s00543
544,s00544,s00544,s00544
545,s00545,s00545,s00545
546,a05|a17,a05|a17,s00546
547,a05|a14,a05|a14,s00547
548,a05|a14,a05|a14,s00548
549,s00549,s00549,s00549
550,a05|a07|a10|a14,a05|a14,a07|a10
551,a05|a14|a34,a05|a14|a34,s00551
552,a05|a19|a34,a05|a19|a34,s00552
553,a05|a14,a05|a14,s00553
554,a05|a07|a10|a14,a05|a14,a07|a10
555,s00555,s00555,s00555
556,s00556,s00556,s00556
557,s00557,s00557,s00557
558,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00558
559,a05|a10|a14|a17,a05|a14|a17,a10
560,a05|a14,a05|a14,s00560
561,a07,s00561,a07
562,a05,a05,s00562
563,s00563,s00563,s00563
564,a05,a05,s00564
565,s00565,s00565,s00565
566,a05,a05,s00566
567,a05,a05,s00567
568,a05|a14,a05|a14,s00568
569,a05|a14,a05|a14,s00569
570,a05|a14,a05|a14,s00570
571,s00571,s00571,s00571
572,a05|a36,a05|a36,s00572
573,a05|a14,a05|a14,s00573
574,a14,a14,s00574
575,a05|a14,a05|a14,s00575
576,s00576,s00576,s00576
577,a05|a14|a34,a05|a14|a34,s00577
578,a05|a14|a60,a05|a14|a60,s00578
579,a05,a05,s00579
580,a05|a14|a21|a23,a05|a14|a21|a23,s00580
581,s00581,s00581,s00581
582,a05|a10|a14|a17,a05|a14|a17,a10
583,a14,a14,s00583
584,s00584,s00584,s00584
585,a05|a19|a34,a05|a19|a34,s00585
586,a05,a05,s00586
587,s00587,s00587,s00587
588,a05|a14,a05|a14,s00588
589,a05,a05,s00589
590,s00590,s00590,s00590
591,a05|a14,a05|a14,s00591
592,a05|a14|a16,a05|a14|a16,s00592
593,s00593,s00593,s00593
594,a05|a14,a05|a14,s00594
595,a05,a05,s00595
596,a14,a14,s00596
597,s00597,s00597,s00597
598,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00598
599,a05|a14|a17|a21|a36,a05|a14|a17|a21|a36,s00599
600,s00600,s00600,s00600
601,a05|a14,a05|a14,s00601
602,s00602,s00602,s00602
603,a05|a14,a05|a14,s00603
604,a05|a14,a05|a14,s00604
605,a05|a14,a05|a14,s00605
606,a05|a14,a05|a14,s00606
607,a05,a05,s00607
608,a14,a14,s00608
609,a05|a14,a05|a14,s00609
610,a05|a14,a05|a14,s00610
611,a05|a14|a21|a23,a05|a14|a21|a23,s00611
612,a05|a10|a14|a17,a05|a14|a17,a10
613,a05,a05,s00613
614,a05,a05,s00614
615,a05|a14|a16,a05|a14|a16,s00615
616,a14,a14,s00616
617,a05|a14|a41,a05|a14|a41,s00617
618,a05|a14|a16,a05|a14|a16,s00618
619,a05|a14|a17,a05|a14|a17,s00619
620,a05|a14|a60,a05|a14|a60,s00620
621,a05,a05,s00621
622,a05|a14,a05|a14,s00622
623,a05|a17,a05|a17,s00623
624,a05,a05,s00624
625,a05|a14,a05|a14,s00625
626,s00626,s00626,s00626
627,a05|a14|a22,a05|a14|a22,s00627
628,s00628,s00628,s00628
629,s00629,s00629,s00629
630,a14|a16,a14|a16,s00630
631,a05,a05,s00631
632,a01|a05|a17,a01|a05|a17,s00632
633,a14,a14,s00633
634,a14|a41,a14|a41,s00634
635,a14,a14,s00635
636,s00636,s00636,s00636
637,a17,a17,s00637
638,a14|a41,a14|a41,s00638
639,a05|a14,a05|a14,s00639
640,a05|a14,a05|a14,s00640
641,a05|a17|a36,a05|a17|a36,s00641
642,s00642,s00642,s00642
643,a05|a17,a05|a17,s00643
644,a05|a14,a05|a14,s00644
645,s00645,s00645,s00645
646,a05|a14|a16|a41,a05|a14|a16|a41,s00646
647,a05,a05,s00647
648,a05,a05,s00648
649,a01|a05|a17,a01|a05|a17,s00649
650,a05,a05,s00650
651,a05|a14,a05|a14,s00651
652,a05,a05,s00652
653,s00653,s00653,s00653
654,a14|a41,a14|a41,s00654
655,a05|a14,a05|a14,s00655
656,a12,s00656,a12
657,a05|a14,a05|a14,s00657
658,a05|a14,a05|a14,s00658
659,s00659,s00659,s00659
660,a05|a14|a21|a23,a05|a14|a21|a23,s00660
661,a05|a14,a05|a14,s00661
662,a07,s00662,a07
663,a05,a05,s00663
664,a05|a14,a05|a14,s00664
665,a14,a14,s00665
666,a05|a14,a05|a14,s00666
667,a05|a17|a36,a05|a17|a36,s00667
668,a05|a14,a05|a14,s00668
669,a05|a36,a05|a36,s00669
670,a05,a05,s00670
671,a01|a05|a17,a01|a05|a17,s00671
672,a05|a14|a22,a05|a14|a22,s00672
673,a05|a36,a05|a36,s00673
674,a05|a14,a05|a14,s00674
675,a05,a05,s00675
676,a05|a14,a05|a14,s00676
677,a05|a17,a05|a17,s00677
678,s00678,s00678,s00678
679,s00679,s00679,s00679
680,s00680,s00680,s00680
681,s00681,s00681,s00681
682,s00682,s00682,s00682
683,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
684,s00684,s00684,s00684
685,s00685,s00685,s00685
686,s00686,s00686,s00686
687,s00687,s00687,s00687
688,a05|a08|a10|a14,a05|a14,a08|a10
689,a05|a10|a14,a05|a14,a10
690,a05|a10|a14,a05|a14,a10
691,a17|a36,a17|a36,s00691
692,s00692,s00692,s00692
693,a05,a05,s00693
694,a17|a36,a17|a36,s00694
695,a14,a14,s00695
696,a05|a14,a05|a14,s00696
697,s00697,s00697,s00697
698,a17|a18,a17|a18,s00698
699,a05|a14|a36,a05|a14|a36,s00699
700,a05,a05,s00700
701,a05|a36,a05|a36,s00701
702,a05,a05,s00702
703,s00703,s00703,s00703
704,a14,a14,s00704
705,s00705,s00705,s00705
706,a14,a14,s00706
707,a05|a14,a05|a14,s00707
708,a05|a17,a05|a17,s00708
709,a05,a05,s00709
710,s00710,s00710,s00710
711,a05|a17|a36,a05|a17|a36,s00711
712,a05,a05,s00712
713,s00713,s00713,s00713
714,a05,a05,s00714
715,s00715,s00715,s00715
716,a05|a14,a05|a14,s00716
717,a05|a10|a14,a05|a14,a10
718,a05|a17,a05|a17,s00718
719,a14,a14,s00719
720,a16,a16,s00720
721,a05|a14|a17|a41,a05|a14|a17|a41,s00721
722,s00722,s00722,s00722
723,s00723,s00723,s00723
724,a05|a19|a34,a05|a19|a34,s00724
725,a16,a16,s00725
726,a14,a14,s00726
727,a05|a14|a17|a41,a05|a14|a17|a41,s00727
728,a07,s00728,a07
729,a05|a14,a05|a14,s00729
730,a17,a17,s00730
731,s00731,s00731,s00731
732,a14|a21,a14|a21,s00732
733,a14,a14,s00733
734,a05|a17|a36,a05|a17|a36,s00734
735,a05|a14,a05|a14,s00735
736,a05,a05,s00736
737,a17|a18,a17|a18,s00737
738,s00738,s00738,s00738
739,a07|a08|a10,s00739,a07|a08|a10
740,a05|a17,a05|a17,s00740
741,a05|a14,a05|a14,s00741
742,a07|a08|a10|a14,a14,a07|a08|a10
743,s00743,s00743,s00743
744,a05|a16,a05|a16,s00744
745,a05|a36,a05|a36,s00745
746,a17|a18,a17|a18,s00746
747,a08,s00747,a08
748,s00748,s00748,s00748
749,a14,a14,s00749
750,a10|a14,a14,a10
751,a05|a14|a41,a05|a14|a41,s00751
752,s00752,s00752,s00752
753,s00753,s00753,s00753
754,a05,a05,s00754
755,s00755,s00755,s00755
756,a05|a07|a10|a16,a05|a16,a07|a10
757,s00757,s00757,s00757
758,a05|a17,a05|a17,s00758
759,a07,s00759,a07
760,a05|a36,a05|a36,s00760
761,a14,a14,s00761
762,a05,a05,s00762
763,a17|a36,a17|a36,s00763
764,s00764,s00764,s00764
765,a05|a14|a16,a05|a14|a16,s00765
766,a10|a14,a14,a10
767,a14,a14,s00767
768,s00768,s00768,s00768
769,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
770,a16,a16,s00770
771,a05|a14|a41,a05|a14|a41,s00771
772,a05|a14|a17|a41,a05|a14|a17|a41,s00772
773,a01|a05|a14|a17|a23|a41,a01|a05|a14|a17|a23|a41,s00773
774,a01|a19,a01|a19,s00774
775,a01|a19,a01|a19,s00775
