numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc
57,s00057,whiteNH,under21,1,W/<20
58,s00058,whiteNH,under21,1,W/<20
59,s00059,whiteNH,under21,1,W/<20
60,s00060,whiteNH,under21,1,W/<20
61,s00061,whiteNH,under21,1,W/<20
62,s00062,whiteNH,under21,1,W/<20
63,s00063,whiteNH,under21,1,W/<20
64,s00064,whiteNH,under21,1,W/<20
65,s00065,whiteNH,under21,1,W/<20
66,s00066,whiteNH,under21,1,W/<20
67,s00067,whiteNH,under21,1,W/<20
68,s00068,whiteNH,under21,1,W/<20
69,s00069,whiteNH,under21,1,W/<20
70,s00070,whiteNH,under21,1,W/<20
71,s00071,whiteNH,under21,1,W/<20
72,s00072,whiteNH,under21,1,W/<20
73,s00073,whiteNH,under21,1,W/<20
74,s00074,whiteNH,under21,1,W/<20
75,s00075,whiteNH,under21,1,W/<20
76,s00076,whiteNH,under21,1,W/<20
77,s00077,whiteNH,under21,1,W/<20
78,s00078,whiteNH,under21,1,W/<20
79,s00079,whiteNH,under21,1,W/<20
80,s00080,whiteNH,under21,1,W/<20
81,s00081,whiteNH,under21,1,W/<20
82,s00082,whiteNH,under21,1,W/<20
83,s00083,whiteNH,under21,1,W/<20
84,s00084,whiteNH,under21,1,W/<20
85,s00085,whiteNH,under21,1,W/<20
86,s00086,whiteNH,under21,1,W/<20
87,s00087,whiteNH,under21,1,W/<20
88,s00088,whiteNH,under21,1,W/<20
89,s00089,whiteNH,under21,1,W/<20
90,s00090,whiteNH,under21,1,W/<20
91,s00091,whiteNH,under21,1,W/<20
92,s00092,whiteNH,under21,1,W/<20
93,s00093,whiteNH,under21,1,W/<20
94,s00094,whiteNH,under21,1,W/<20
95,s00095,whiteNH,under21,1,W/<20
96,s00096,whiteNH,under21,1,W/<20
97,s00097,whiteNH,under21,1,W/<20
98,s00098,whiteNH,under21,1,W/<20
99,s00099,whiteNH,under21,1,W/<20
100,s00100,whiteNH,under21,1,W/<20
101,s00101,whiteNH,under21,1,W/<20
102,s00102,whiteNH,under21,1,W/<20
103,s00103,whiteNH,under21,1,W/<20
104,s00104,whiteNH,under21,1,W/<20
105,s00105,whiteNH,under21,1,W/<20
106,s00106,whiteNH,under21,1,W/<20
107,s00107,whiteNH,under21,1,W/<20
108,s00108,whiteNH,under21,1,W/<20
109,s00109,whiteNH,under21,1,W/<20
110,s00110,whiteNH,under21,1,W/<20
111,s00111,whiteNH,under21,1,W/<20
112,s00112,whiteNH,under21,1,W/<20
113,s00113,whiteNH,under21,1,W/<20
114,s00114,whiteNH,under21,1,W/<20
115,s00115,whiteNH,under21,1,W/<20
116,s00116,whiteNH,under21,1,W/<20
117,s00117,whiteNH,under21,1,W/<20
118,s00118,whiteNH,under21,1,W/<20
119,s00119,whiteNH,under21,1,W/<20
120,s00120,whiteNH,under21,1,W/<20
121,s00121,whiteNH,under21,1,W/<20
122,s00122,whiteNH,under21,1,W/<20
123,s00123,whiteNH,under21,1,W/<20
124,s00124,whiteNH,under21,1,W/<20
125,s00125,whiteNH,under21,1,W/<20
126,s00126,whiteNH,under21,1,W/<20
127,s00127,whiteNH,under21,1,W/<20
128,s00128,whiteNH,under21,1,W/<20
129,s00129,whiteNH,under21,1,W/<20
130,s00130,whiteNH,under21,1,W/<20
131,s00131,whiteNH,under21,1,W/<20
132,s00132,whiteNH,under21,1,W/<20
133,s00133,whiteNH,under21,1,W/<20
134,s00134,whiteNH,under21,1,W/<20
135,s00135,whiteNH,under21,1,W/<20
136,s00136,whiteNH,under21,1,W/<20
137,s00137,whiteNH,under21,1,W/<20
138,s00138,whiteNH,under21,1,W/<20
139,s00139,whiteNH,under21,1,W/<20
140,s00140,whiteNH,under21,1,W/<20
141,s00141,whiteNH,under21,1,W/<20
142,s00142,whiteNH,under21,1,W/<20
143,s00143,whiteNH,under21,1,W/<20
144,s00144,whiteNH,under21,1,W/<20
145,s00145,whiteNH,under21,1,W/<20
146,s00146,whiteNH,under21,1,W/<20
147,s00147,whiteNH,under21,1,W/<20
148,s00148,whiteNH,under21,1,W/<20
149,s00149,whiteNH,under21,1,W/<20
150,s00150,whiteNH,under21,1,W/<20
151,s00151,whiteNH,under21,1,W/<20
152,s00152,whiteNH,under21,1,W/<20
153,s00153,whiteNH,under21,1,W/<20
154,s00154,whiteNH,under21,1,W/<20
155,s00155,whiteNH,under21,1,W/<20
156,s00156,whiteNH,under21,1,W/<20
157,s00157,whiteNH,under21,1,W/<20
158,s00158,whiteNH,under21,1,W/<20
159,s00159,whiteNH,under21,1,W/<20
160,s00160,whiteNH,under21,1,W/<20
161,s00161,whiteNH,under21,1,W/<20
162,s00162,whiteNH,under21,1,W/<20
163,s00163,whiteNH,under21,1,W/<20
164,s00164,whiteNH,under21,1,W/<20
165,s00165,whiteNH,under21,1,W/<20
166,s00166,whiteNH,under21,1,W/<20
167,s00167,whiteNH,under21,1,W/<20
168,s00168,whiteNH,under21,1,W/<20
169,s00169,whiteNH,under21,1,W/<20
170,s00170,whiteNH,under21,1,W/<20
171,s00171,whiteNH,under21,1,W/<20
172,s00172,whiteNH,under21,1,W/<20
173,s00173,whiteNH,under21,1,W/<20
174,s00174,whiteNH,under21,1,W/<20
175,s00175,whiteNH,under21,1,W/<20
176,s00176,whiteNH,under21,1,W/<20
177,s00177,whiteNH,under21,1,W/<20
178,s00178,whiteNH,under21,1,W/<20
179,s00179,whiteNH,under21,1,W/<20
180,s00180,whiteNH,under21,1,W/<20
181,s00181,whiteNH,under21,1,W/<20
182,s00182,whiteNH,under21,1,W/<20
183,s00183,whiteNH,under21,1,W/<20
184,s00184,whiteNH,under21,1,W/<20
185,s00185,whiteNH,under21,1,W/<20
186,s00186,whiteNH,under21,1,W/<20
187,s00187,whiteNH,under21,1,W/<20
188,s00188,whiteNH,under21,1,W/<20
189,s00189,whiteNH,under21,1,W/<20
190,s00190,whiteNH,under21,1,W/<20
191,s00191,whiteNH,under21,1,W/<20
192,s00192,whiteNH,under21,1,W/<20
193,s00193,whiteNH,under21,1,W/<20
194,s00194,whiteNH,under21,1,W/<20
195,s00195,whiteNH,under21,1,W/<20
196,s00196,whiteNH,under21,1,W/<20
197,s00197,whiteNH,under21,1,W/<20
198,s00198,whiteNH,under21,1,W/<20
199,s00199,whiteNH,under21,1,W/<20
200,s00200,whiteNH,under21,1,W/<20
201,s00201,whiteNH,under21,1,W/<20
202,s00202,whiteNH,under21,1,W/<20
203,s00203,whiteNH,under21,1,W/<20
204,s00204,whiteNH,under21,1,W/<20
205,s00205,whiteNH,under21,1,W/<20
206,s00206,whiteNH,under21,1,W/<20
207,s00207,whiteNH,under21,1,W/<20
208,s00208,whiteNH,under21,1,W/<20
209,s00209,whiteNH,under21,1,W/<20
210,s00210,whiteNH,under21,1,W/<20
211,s00211,whiteNH,under21,1,W/<20
212,s00212,whiteNH,under21,1,W/<20
213,s00213,whiteNH,under21,1,W/<20
214,s00214,whiteNH,under21,1,W/<20
215,s00215,whiteNH,under21,1,W/<20
216,s00216,whiteNH,under21,1,W/<20
217,s00217,whiteNH,under21,1,W/<20
218,s00218,whiteNH,under21,1,W/<20
219,s00219,whiteNH,under21,1,W/<20
220,s00220,whiteNH,under21,1,W/<20
221,s00221,whiteNH,under21,1,W/<20
222,s00222,whiteNH,under21,1,W/<20
223,s00223,whiteNH,under21,1,W/<20
224,s00224,whiteNH,under21,1,W/<20
225,s00225,whiteNH,under21,1,W/<20
226,s00226,whiteNH,under21,1,W/<20
227,s00227,whiteNH,under21,1,W/<20
228,s00228,whiteNH,under21,1,W/<20
229,s00229,whiteNH,under21,1,W/<20
230,s00230,whiteNH,under21,1,W/<20
231,s00231,whiteNH,under21,1,W/<20
232,s00232,whiteNH,under21,1,W/<20
233,s00233,whiteNH,under21,1,W/<20
234,s00234,whiteNH,under21,1,W/<20
235,s00235,whiteNH,under21,1,W/<20
236,s00236,whiteNH,under21,1,W/<20
237,s00237,whiteNH,under21,1,W/<20
238,s00238,whiteNH,under21,1,W/<20
239,s00239,whiteNH,under21,1,W/<20
240,s00240,whiteNH,under21,1,W/<20
241,s00241,whiteNH,under21,1,W/<20
242,s00242,whiteNH,under21,1,W/<20
243,s00243,whiteNH,under21,1,W/<20
244,s00244,whiteNH,under21,1,W/<20
245,s00245,whiteNH,under21,1,W/<20
246,s00246,whiteNH,under21,1,W/<20
247,s00247,whiteNH,under21,1,W/<20
248,s00248,whiteNH,under21,1,W/<20
249,s00249,whiteNH,under21,1,W/<20
250,s00250,whiteNH,under21,1,W/<20
251,s00251,whiteNH,under21,1,W/<20
252,s00252,whiteNH,under21,1,W/<20
253,s00253,whiteNH,under21,1,W/<20
254,s00254,whiteNH,under21,1,W/<20
255,s00255,whiteNH,under21,1,W/<20
256,s00256,whiteNH,under21,1,W/<20
257,s00257,whiteNH,under21,1,W/<20
258,s00258,whiteNH,under21,1,W/<20
259,s00259,whiteNH,under21,1,W/<20
260,s00260,whiteNH,under21,1,W/<20
261,s00261,whiteNH,under21,1,W/<20
262,s00262,whiteNH,under21,1,W/<20
263,s00263,whiteNH,under21,1,W/<20
264,s00264,whiteNH,under21,1,W/<20
265,s00265,whiteNH,under21,1,W/<20
266,s00266,whiteNH,under21,1,W/<20
267,s00267,whiteNH,under21,1,W/<20
268,s00268,whiteNH,under21,1,W/<20
269,s00269,whiteNH,under21,1,W/<20
270,s00270,whiteNH,under21,1,W/<20
271,s00271,whiteNH,under21,1,W/<20
272,s00272,whiteNH,under21,1,W/<20
273,s00273,whiteNH,under21,1,W/<20
274,s00274,whiteNH,under21,1,W/<20
275,s00275,whiteNH,under21,1,W/<20
276,s00276,whiteNH,under21,1,W/<20
277,s00277,whiteNH,under21,1,W/<20
278,s00278,whiteNH,under21,1,W/<20
279,s00279,whiteNH,under21,1,W/<20
280,s00280,whiteNH,under21,1,W/<20
281,s00281,whiteNH,under21,1,W/<20
282,s00282,whiteNH,under21,1,W/<20
283,s00283,whiteNH,under21,1,W/<20
284,s00284,whiteNH,under21,1,W/<20
285,s00285,whiteNH,under21,1,W/<20
286,s00286,whiteNH,under21,1,W/<20
287,s00287,whiteNH,under21,1,W/<20
288,s00288,whiteNH,under21,1,W/<20
289,s00289,whiteNH,under21,1,W/<20
290,s00290,whiteNH,under21,1,W/<20
291,s00291,whiteNH,under21,1,W/<20
292,s00292,whiteNH,under21,1,W/<20
293,s00293,whiteNH,under21,1,W/<20
294,s00294,whiteNH,under21,1,W/<20
295,s00295,whiteNH,under21,1,W/<20
296,s00296,whiteNH,under21,1,W/<20
297,s00297,whiteNH,under21,1,W/<20
298,s00298,whiteNH,under21,1,W/<20
299,s00299,whiteNH,under21,1,W/<20
300,s00300,whiteNH,under21,1,W/<20
301,s00301,whiteNH,under21,1,W/<20
302,s00302,whiteNH,under21,1,W/<20
303,s00303,whiteNH,under21,1,W/<20
304,s00304,whiteNH,under21,1,W/<20
305,s00305,whiteNH,under21,1,W/<20
306,s00306,whiteNH,under21,1,W/<20
307,s00307,whiteNH,under21,1,W/<20
308,s00308,whiteNH,under21,1,W/<20
309,s00309,whiteNH,under21,1,W/<20
310,s00310,whiteNH,under21,1,W/<20
311,s00311,whiteNH,under21,1,W/<20
312,s00312,whiteNH,under21,1,W/<20
313,s00313,whiteNH,under21,1,W/<20
314,s00314,whiteNH,under21,1,W/<20
315,s00315,whiteNH,under21,1,W/<20
316,s00316,whiteNH,under21,1,W/<20
317,s00317,whiteNH,under21,1,W/<20
318,s00318,whiteNH,under21,1,W/<20
319,s00319,whiteNH,under21,1,W/<20
320,s00320,whiteNH,under21,1,W/<20
321,s00321,whiteNH,under21,1,W/<20
322,s00322,whiteNH,under21,1,W/<20
323,s00323,whiteNH,under21,1,W/<20
324,s00324,whiteNH,under21,1,W/<20
325,s00325,whiteNH,under21,1,W/<20
326,s00326,whiteNH,under21,1,W/<20
327,s00327,whiteNH,under21,1,W/<20
328,s00328,whiteNH,under21,1,W/<20
329,s00329,whiteNH,under21,1,W/<20
330,s00330,whiteNH,under21,1,W/<20
331,s00331,whiteNH,under21,1,W/<20
332,s00332,whiteNH,under21,1,W/<20
333,s00333,whiteNH,under21,1,W/<20
334,s00334,whiteNH,under21,1,W/<20
335,s00335,whiteNH,under21,1,W/<20
336,s00336,whiteNH,under21,1,W/<20
337,s00337,whiteNH,under21,1,W/<20
338,s00338,whiteNH,under21,1,W/<20
339,s00339,whiteNH,under21,1,W/<20
340,s00340,whiteNH,under21,1,W/<20
341,s00341,whiteNH,under21,1,W/<20
342,s00342,whiteNH,under21,1,W/<20
343,s00343,whiteNH,under21,1,W/<20
344,s00344,whiteNH,under21,1,W/<20
345,s00345,whiteNH,under21,1,W/<20
346,s00346,whiteNH,under21,1,W/<20
347,s00347,whiteNH,under21,1,W/<20
348,s00348,whiteNH,under21,1,W/<20
349,s00349,whiteNH,under21,1,W/<20
350,s00350,whiteNH,under21,1,W/<20
351,s00351,whiteNH,under21,1,W/<20
352,s00352,whiteNH,under21,1,W/<20
353,s00353,whiteNH,under21,1,W/<20
354,s00354,whiteNH,under21,1,W/<20
355,s00355,whiteNH,under21,1,W/<20
356,s00356,whiteNH,under21,1,W/<20
357,s00357,whiteNH,under21,1,W/<20
358,s00358,whiteNH,under21,1,W/<20
359,s00359,whiteNH,under21,1,W/<20
360,s00360,whiteNH,under21,1,W/<20
361,s00361,whiteNH,under21,1,W/<20
362,s00362,whiteNH,under21,1,W/<20
363,s00363,whiteNH,under21,1,W/<20
364,s00364,whiteNH,under21,1,W/<20
365,s00365,whiteNH,under21,1,W/<20
366,s00366,whiteNH,under21,1,W/<20
367,s00367,whiteNH,under21,1,W/<20
368,s00368,whiteNH,under21,1,W/<20
369,s00369,whiteNH,under21,1,W/<20
370,s00370,whiteNH,under21,1,W/<20
371,s00371,whiteNH,under21,1,W/<20
372,s00372,whiteNH,under21,1,W/<20
373,s00373,whiteNH,under21,1,W/<20
374,s00374,whiteNH,under21,1,W/<20
375,s00375,whiteNH,under21,1,W/<20
376,s00376,whiteNH,under21,1,W/<20
377,s00377,whiteNH,under21,1,W/<20
378,s00378,whiteNH,under21,1,W/<20
379,s00379,whiteNH,under21,1,W/<20
380,s00380,whiteNH,under21,1,W/<20
381,s00381,whiteNH,under21,1,W/<20
382,s00382,whiteNH,under21,1,W/<20
383,s00383,whiteNH,under21,1,W/<20
384,s00384,whiteNH,under21,1,W/<20
385,s00385,whiteNH,under21,1,W/<20
386,s00386,whiteNH,under21,1,W/<20
387,s00387,whiteNH,under21,1,W/<20
388,s00388,whiteNH,under21,1,W/<20
389,s00389,whiteNH,under21,1,W/<20
390,s00390,whiteNH,under21,1,W/<20
391,s00391,whiteNH,under21,1,W/<20
392,s00392,whiteNH,under21,1,W/<20
393,s00393,whiteNH,under21,1,W/<20
394,s00394,whiteNH,under21,1,W/<20
395,s00395,whiteNH,under21,1,W/<20
396,s00396,whiteNH,under21,1,W/<20
397,s00397,whiteNH,under21,1,W/<20
398,s00398,whiteNH,under21,1,W/<20
399,s00399,whiteNH,under21,1,W/<20
400,s00400,whiteNH,under21,1,W/<20
401,s00401,whiteNH,under21,1,W/<20
402,s00402,whiteNH,under21,1,W/<20
403,s00403,whiteNH,under21,1,W/<20
404,s00404,whiteNH,under21,1,W/<20
405,s00405,whiteNH,under21,1,W/<20
406,s00406,whiteNH,under21,1,W/<20
407,s00407,whiteNH,under21,1,W/<20
408,s00408,whiteNH,under21,1,W/<20
409,s00409,whiteNH,under21,1,W/<20
410,s00410,whiteNH,under21,1,W/<20
411,s00411,whiteNH,under21,1,W/<20
412,s00412,whiteNH,under21,1,W/<20
413,s00413,whiteNH,under21,1,W/<20
414,s00414,whiteNH,under21,1,W/<20
415,s00415,whiteNH,under21,1,W/<20
416,s00416,whiteNH,under21,1,W/<20
417,s00417,whiteNH,under21,1,W/<20
418,s00418,whiteNH,under21,1,W/<20
419,s00419,whiteNH,under21,1,W/<20
420,s00420,whiteNH,under21,1,W/<20
421,s00421,whiteNH,under21,1,W/<20
422,s00422,whiteNH,under21,1,W/<20
423,s00423,whiteNH,under21,1,W/<20
424,s00424,whiteNH,under21,1,W/<20
425,s00425,whiteNH,under21,1,W/<20
426,s00426,whiteNH,under21,1,W/<20
427,s00427,whiteNH,under21,1,W/<20
428,s00428,whiteNH,under21,1,W/<20
429,s00429,whiteNH,under21,1,W/<20
430,s00430,whiteNH,under21,1,W/<20
431,s00431,whiteNH,under21,1,W/<20
432,s00432,whiteNH,under21,1,W/<20
433,s00433,whiteNH,under21,1,W/<20
434,s00434,whiteNH,under21,1,W/<20
435,s00435,whiteNH,under21,1,W/<20
436,s00436,whiteNH,under21,1,W/<20
437,s00437,whiteNH,under21,1,W/<20
438,s00438,whiteNH,under21,1,W/<20
439,s00439,whiteNH,under21,1,W/<20
440,s00440,whiteNH,under21,1,W/<20
441,s00441,whiteNH,under21,1,W/<20
442,s00442,whiteNH,under21,1,W/<20
443,s00443,whiteNH,under21,1,W/<20
444,s00444,whiteNH,under21,1,W/<20
445,s00445,whiteNH,under21,1,W/<20
446,s00446,whiteNH,under21,1,W/<20
447,s00447,whiteNH,under21,1,W/<20
448,s00448,whiteNH,under21,1,W/<20
449,s00449,whiteNH,under21,1,W/<20
450,s00450,whiteNH,under21,1,W/<20
451,s00451,whiteNH,under21,1,W/<20
452,s00452,whiteNH,under21,1,W/<20
453,s00453,whiteNH,under21,1,W/<20
454,s00454,whiteNH,under21,1,W/<20
455,s00455,whiteNH,under21,1,W/<20
456,s00456,whiteNH,under21,1,W/<20
457,s00457,whiteNH,under21,1,W/<20
458,s00458,whiteNH,under21,1,W/<20
459,s00459,whiteNH,under21,1,W/<20
460,s00460,whiteNH,under21,1,W/<20
461,s00461,whiteNH,under21,1,W/<20
462,s00462,whiteNH,under21,1,W/<20
463,s00463,whiteNH,under21,1,W/<20
464,s00464,whiteNH,under21,1,W/<20
465,s00465,whiteNH,under21,1,W/<20
466,s00466,whiteNH,under21,1,W/<20
467,s00467,whiteNH,under21,1,W/<20
468,s00468,whiteNH,under21,1,W/<20
469,s00469,whiteNH,under21,1,W/<20
470,s00470,whiteNH,under21,1,W/<20
471,s00471,whiteNH,under21,1,W/<20
472,s00472,whiteNH,under21,1,W/<20
473,s00473,whiteNH,under21,1,W/<20
474,s00474,whiteNH,under21,1,W/<20
475,s00475,whiteNH,under21,1,W/<20
476,s00476,whiteNH,under21,1,W/<20
477,s00477,whiteNH,under21,1,W/<20
478,s00478,whiteNH,under21,1,W/<20
479,s00479,whiteNH,under21,1,W/<20
480,s00480,whiteNH,under21,1,W/<20
481,s00481,whiteNH,under21,1,W/<20
482,s00482,whiteNH,under21,1,W/<20
483,s00483,whiteNH,under21,1,W/<20
484,s00484,whiteNH,under21,1,W/<20
485,s00485,whiteNH,under21,1,W/<20
486,s00486,whiteNH,under21,1,W/<20
487,s00487,whiteNH,under21,1,W/<20
488,s00488,whiteNH,under21,1,W/<20
489,s00489,whiteNH,under21,1,W/<20
490,s00490,whiteNH,under21,1,W/<20
491,s00491,whiteNH,under21,1,W/<20
492,s00492,whiteNH,under21,1,W/<20
493,s00493,whiteNH,under21,1,W/<20
494,s00494,whiteNH,under21,1,W/<20
495,s00495,whiteNH,under21,1,W/<20
496,s00496,whiteNH,under21,1,W/<20
497,s00497,whiteNH,under21,1,W/<20
498,s00498,whiteNH,under21,1,W/<20
499,s00499,whiteNH,under21,1,W/<20
500,s00500,whiteNH,under21,1,W/<20
501,s00501,whiteNH,under21,1,W/<20
502,s00502,whiteNH,under21,1,W/<20
503,s00503,whiteNH,under21,1,W/<20
504,s00504,whiteNH,under21,1,W/<20
505,s00505,whiteNH,under21,1,W/<20
506,s00506,whiteNH,under21,1,W/<20
507,s00507,whiteNH,under21,1,W/<20
508,s00508,whiteNH,under21,1,W/<20
509,s00509,whiteNH,under21,1,W/<20
510,s00510,whiteNH,under21,1,W/<20
511,s00511,whiteNH,under21,1,W/<20
512,s00512,whiteNH,under21,1,W/<20
513,s00513,whiteNH,under21,1,W/<20
514,s00514,whiteNH,under21,1,W/<20
515,s00515,whiteNH,under21,1,W/<20
516,s00516,whiteNH,under21,1,W/<20
517,s00517,whiteNH,under21,1,W/<20
518,s00518,whiteNH,under21,1,W/<20
519,s00519,whiteNH,under21,1,W/<20
520,s00520,whiteNH,under21,1,W/<20
521,s00521,whiteNH,under21,1,W/<20
522,s00522,whiteNH,under21,1,W/<20
523,s00523,whiteNH,under21,1,W/<20
524,s00524,whiteNH,under21,1,W/<20
525,s00525,whiteNH,under21,1,W/<20
526,s00526,whiteNH,under21,1,W/<20
527,s00527,whiteNH,under21,1,W/<20
528,s00528,whiteNH,under21,1,W/<20
529,s00529,whiteNH,under21,1,W/<20
530,s00530,whiteNH,under21,1,W/<20
531,s00531,whiteNH,under21,1,W/<20
532,s00532,whiteNH,under21,1,W/<20
533,s00533,whiteNH,under21,1,W/<20
534,s00534,whiteNH,under21,1,W/<20
535,s00535,whiteNH,under21,1,W/<20
536,s00536,whiteNH,under21,1,W/<20
537,s00537,whiteNH,under21,1,W/<20
538,s00538,whiteNH,under21,1,W/<20
539,s00539,whiteNH,under21,1,W/<20
540,s00540,whiteNH,under21,1,W/<20
541,s00541,whiteNH,under21,1,W/<20
542,s00542,whiteNH,under21,1,W/<20
543,s00543,whiteNH,under21,1,W/<20
544,s00544,whiteNH,under21,1,W/<20
545,s00545,whiteNH,under21,1,W/<20
546,s00546,whiteNH,under21,1,W/<20
547,s00547,whiteNH,under21,1,W/<20
548,s00548,whiteNH,under21,1,W/<20
549,s00549,whiteNH,under21,1,W/<20
550,s00550,whiteNH,under21,1,W/<20
551,s00551,whiteNH,under21,1,W/<20
552,s00552,whiteNH,under21,1,W/<20
553,s00553,whiteNH,under21,1,W/<20
554,s00554,whiteNH,under21,1,W/<20
555,s00555,whiteNH,under21,1,W/<20
556,s00556,whiteNH,under21,1,W/<20
557,s00557,whiteNH,under21,1,W/<20
558,s00558,whiteNH,under21,1,W/<20
559,s00559,whiteNH,under21,1,W/<20
560,s00560,whiteNH,under21,1,W/<20
561,s00561,whiteNH,under21,1,W/<20
562,s00562,whiteNH,under21,1,W/<20
563,s00563,whiteNH,under21,1,W/<20
564,s00564,whiteNH,under21,1,W/<20
565,s00565,whiteNH,under21,1,W/<20
566,s00566,whiteNH,under21,1,W/<20
567,s00567,whiteNH,under21,1,W/<20
568,s00568,whiteNH,under21,1,W/<20
569,s00569,whiteNH,under21,1,W/<20
570,s00570,whiteNH,under21,1,W/<20
571,s00571,whiteNH,under21,1,W/<20
572,s00572,whiteNH,under21,1,W/<20
573,s00573,whiteNH,under21,1,W/<20
574,s00574,whiteNH,under21,1,W/<20
575,s00575,whiteNH,under21,1,W/<20
576,s00576,whiteNH,under21,1,W/<20
577,s00577,whiteNH,under21,1,W/<20
578,s00578,whiteNH,under21,1,W/<20
579,s00579,whiteNH,under21,1,W/<20
580,s00580,whiteNH,under21,1,W/<20
581,s00581,whiteNH,under21,1,W/<20
582,s00582,whiteNH,under21,1,W/<20
583,s00583,whiteNH,under21,1,W/<20
584,s00584,whiteNH,under21,1,W/<20
585,s00585,whiteNH,under21,1,W/<20
586,s00586,whiteNH,under21,1,W/<20
587,s00587,whiteNH,under21,1,W/<20
588,s00588,whiteNH,under21,1,W/<20
589,s00589,whiteNH,under21,1,W/<20
590,s00590,whiteNH,under21,1,W/<20
591,s00591,whiteNH,under21,1,W/<20
592,s00592,whiteNH,under21,1,W/<20
593,s00593,whiteNH,under21,1,W/<20
594,s00594,whiteNH,under21,1,W/<20
595,s00595,whiteNH,under21,1,W/<20
596,s00596,whiteNH,under21,1,W/<20
597,s00597,whiteNH,under21,1,W/<20
598,s00598,whiteNH,under21,1,W/<20
599,s00599,whiteNH,under21,1,W/<20
600,s00600,whiteNH,under21,1,W/<20
601,s00601,whiteNH,under21,1,W/<20
602,s00602,whiteNH,under21,1,W/<20
603,s00603,whiteNH,under21,1,W/<20
604,s00604,whiteNH,under21,1,W/<20
605,s00605,whiteNH,under21,1,W/<20
606,s00606,whiteNH,under21,1,W/<20
607,s00607,whiteNH,under21,1,W/<20
608,s00608,whiteNH,under21,1,W/<20
609,s00609,whiteNH,under21,1,W/<20
610,s00610,whiteNH,under21,1,W/<20
611,s00611,whiteNH,under21,1,W/<20
612,s00612,whiteNH,under21,1,W/<20
613,s00613,whiteNH,under21,1,W/<20
614,s00614,whiteNH,under21,1,W/<20
615,s00615,whiteNH,under21,1,W/<20
616,s00616,whiteNH,under21,1,W/<20
617,s00617,whiteNH,under21,1,W/<20
618,s00618,whiteNH,under21,1,W/<20
619,s00619,whiteNH,under21,1,W/<20
620,s00620,whiteNH,under21,1,W/<20
621,s00621,whiteNH,under21,1,W/<20
622,s00622,whiteNH,under21,1,W/<20
623,s00623,whiteNH,under21,1,W/<20
624,s00624,whiteNH,under21,1,W/<20
625,s00625,whiteNH,under21,1,W/<20
626,s00626,whiteNH,under21,1,W/<20
627,s00627,whiteNH,under21,1,W/<20
628,s00628,whiteNH,under21,1,W/<20
629,s00629,whiteNH,under21,1,W/<20
630,s00630,whiteNH,under21,1,W/<20
631,s00631,whiteNH,under21,1,W/<20
632,s00632,whiteNH,under21,1,W/<20
633,s00633,whiteNH,under21,1,W/<20
