egoid,apps_all
219,a05|a36
220,a05|a14|a16|a41
221,s00221
222,a05|a14
223,a05|a14|a16
224,a05|a14
225,a14|a16
226,a05|a14|a17
227,a05|a14
228,a05|a14
229,a01|a05|a17
230,a05
231,a14|a16
232,a05
233,s00233
234,s00234
235,a05|a14
236,a05|a14
237,s00237
238,s00238
239,a01|a05|a17
240,a05|a14|a17
241,a05|a14
242,s00242
243,a05
244,a05
245,s00245
246,a05|a14|a22
247,a05|a14
248,a05|a14
249,s00249
250,a07
251,a05
252,s00252
253,a05|a14|a17|a21|a36
254,a05|a14|a17|a22|a34|a50
255,a05
256,a05|a17
257,a07|a08|a14
258,s00258
259,a05
260,a05
261,a05|a14
262,a05|a14|a21|a23
263,a05|a14|a34
264,a05|a07|a10|a14
265,s00265
266,a05|a07|a10|a14
267,a05|a14|a16|a17
268,a05|a14|a17|a21|a36
269,a05
270,a05
271,a14
272,a05|a14
273,s00273
274,a05|a14
275,a05
276,s00276
277,a14
278,a05
279,a01|a05|a17
280,s00280
281,a05|a14|a17|a22|a34|a50
282,a14
283,s00283
284,s00284
285,a05
286,a01|a05|a17
287,a05
288,a14
289,s00289
290,s00290
291,a12
292,s00292
293,a05|a14
294,a05
295,a05|a14|a16|a41
296,s00296
297,s00297
298,a05
299,a05
300,a14
301,s00301
302,s00302
303,a05|a14|a16
304,a01|a05|a17
305,a05|a14|a21|a23
306,a05|a14
307,a01|a05|a17
308,a05
309,a05|a36
310,a05|a14
311,a05|a14
312,a05|a14|a17|a22|a34|a50
313,a05|a14
314,s00314
315,a05|a07|a10|a14
316,a14|a41
317,a14
318,a05|a14|a21|a23
319,a05|a17
320,a05
321,a05
322,a14|a16
323,a07|a08|a14
324,a05
325,a05|a14
326,a05|a14
327,a01|a05|a17
328,s00328
329,a05
330,s00330
331,a05|a14
332,a05
333,a05|a14
334,a05|a14|a18
335,s00335
336,s00336
337,s00337
338,s00338
339,a05
340,a05|a36
341,a05|a14|a22
342,a05|a14|a41
343,s00343
344,a14
345,a05|a14|a21|a23
346,s00346
347,a05
348,a05|a14|a16
349,a05|a14
350,a05|a14
351,a05|a36
352,a05|a14|a22
353,a05|a14|a22
354,a05|a14
355,a05|a14
356,s00356
357,a05|a14|a16|a17
358,a05|a14|a60
359,a05|a17|a36
360,a05|a14
361,a05|a36
362,a05|a14
363,a05|a14|a34
364,a05|a14|a34
365,a12
366,a05
367,a05|a14|a17
368,a05|a14
369,a05|a14
370,a05|a19|a34
371,s00371
372,s00372
373,s00373
374,a05|a14|a17|a22|a34|a50
375,a05
376,a14
377,a05|a14
378,a05|a14
379,a05|a14|a17|a22|a34|a50
380,a05|a36
381,a05|a14|a22
382,a05|a14|a60
383,s00383
384,a14
385,a05
386,a14
387,a05|a14|a17|a22|a34|a50
388,a05|a14|a16|a41
389,a05
390,a12
391,a05|a14|a22
392,a05|a14|a41
393,a14
394,s00394
395,a07|a08|a14
396,a14|a16
397,a12
398,a05|a14
399,a05|a14|a22
400,a05
401,a05|a14
402,a01|a05|a17
403,a05|a14
404,a05|a14
405,s00405
406,a05
407,a05|a14|a16
408,s00408
409,a05|a14
410,a14|a16
411,a05|a14|a17|a22|a34|a50
412,a05
413,a05|a14
414,a05|a17|a36
415,a05|a14|a17|a21|a36
416,a05
417,a05|a36
418,a05|a14
419,a14
420,s00420
421,a05|a14
422,a05|a14
423,a05|a14|a17
424,s00424
425,a05
426,a05
427,a05
428,a05
429,a05|a14
430,s00430
431,a05|a17
432,a05|a14
433,a14
434,a05|a17
435,a05
436,a05|a14
437,a05|a14
438,a05|a19|a34
439,s00439
440,a05
441,a05
442,a05|a14|a17|a22|a34|a50
443,a05
444,a05|a14
445,a05|a14|a41
446,a05
447,a05|a17
448,a05|a14|a16|a17
449,a05|a14
450,a05|a14|a60
451,s00451
452,a05|a14|a34
453,a14
454,a05|a14|a22
455,a05
456,a05
457,a05|a14|a21|a23
458,a05|a14
459,a05
460,a05|a14|a16|a17
461,a05|a14|a17|a22|a34|a50
462,a05
463,a05
464,s00464
465,a05|a14|a41
466,a05|a14
467,a05|a14
468,s00468
469,s00469
470,a05|a14|a17|a21|a36
471,a05
472,s00472
473,a05|a14
474,a05|a14
475,a07|a08|a14
476,a05|a14
477,a05|a14
478,a05|a17|a36
479,a05|a14|a34
480,a05
481,a05|a17|a36
482,s00482
483,a05|a14
484,a05|a14|a34
485,a05|a14
486,s00486
487,a05|a36
488,a05|a14
489,s00489
490,a07
491,a05
492,a05
493,s00493
494,s00494
495,a07
496,a05|a36
497,s00497
498,a05
499,a05|a14|a41
500,a05
501,a05|a36
502,s00502
503,a12
504,a14
505,s00505
506,s00506
507,a05
508,a05|a36
509,a12
510,a05|a14
511,a05|a14|a17
512,s00512
513,a05|a14
514,a14|a41
515,a05
516,a07|a08|a14
517,s00517
518,s00518
519,s00519
520,a05
521,a05|a14|a16|a41
522,s00522
523,s00523
524,a05|a14|a22
525,a05
526,s00526
527,a05
528,a05|a14
529,s00529
530,s00530
531,a14|a16
532,s00532
533,a01|a05|a17
534,a05|a14
535,a07
536,a05
537,a05
538,a14|a41
539,a05
540,s00540
541,a05|a14
542,a05|a14
543,a05|a14|a16|a17
544,s00544
545,a05|a14
546,s00546
547,a05
548,a05|a14|a34
549,a05
550,a05|a14|a17
551,a12
552,a05|a14
553,a05|a14
554,a05|a14|a21|a23
555,s00555
556,a05
557,a12
558,a07
559,a05|a14
560,a05|a17|a36
561,a05|a14
562,a05|a14
563,a05|a14
564,a14
565,a05|a14
566,a07
567,a05|a07|a10|a14
568,s00568
569,a05|a10|a14|a17
570,s00570
571,a05|a36
572,a05|a14|a16|a41
573,a05
574,a07|a08|a14
575,a05|a14
576,a14
577,a05|a14|a17
578,a05|a10|a14|a17
579,a05|a14|a17|a21|a36
580,a05|a14|a16|a41
581,a05
582,s00582
583,s00583
584,s00584
585,a05|a14
586,a05|a14|a16|a17
587,a05|a14|a21|a23
588,a05|a14|a16|a17
589,a05|a14
590,a17
591,a14
592,a14
593,a05
594,a05|a19|a34
595,a05|a07|a10|a14
596,a05|a36
597,a05|a14
598,s00598
599,a05|a07|a10|a14
600,a05|a36
601,a05
602,s00602
603,a05|a14
604,a05
605,a05|a14|a60
606,a05
607,a05|a14|a17
608,a07
609,a14
610,a05|a14|a34
611,a05|a14|a17|a22|a34|a50
612,a05|a07|a10|a14
613,a05
614,s00614
615,a05|a14|a16|a17
616,a05|a14|a41
617,a05|a14
618,a05|a17
619,a05
620,s00620
621,a05|a14
622,a14
623,a05|a14
624,a14
625,a05|a14|a60
626,a05|a14|a41
627,a01|a05|a17
628,a05
629,a05
630,s00630
631,a14
632,s00632
633,a05|a14
634,a05|a36
635,a14|a41
636,a05|a14|a17|a21|a36
637,a05|a14
638,a05|a14
639,a05|a14|a34
640,a05
641,a05|a14|a17|a22|a34|a50
642,a05|a14|a60
643,s00643
644,a05|a14|a17|a22|a34|a50
645,a05|a14
646,a05|a17
647,a05|a14|a17
648,s00648
649,a05
650,s00650
651,a05
652,a05|a14
653,a05
654,s00654
655,s00655
656,a01|a05|a17
657,s00657
658,a05|a14|a16|a17
659,a14
660,a05|a14|a17|a22|a34|a50
661,s00661
662,a05|a14
663,a07|a08|a14
664,a05|a14|a17
665,s00665
666,a05|a14
667,a14|a16
668,s00668
669,a05|a14|a16
670,a05|a17
671,a05|a14
672,a14
673,a05|a14|a21|a23
674,s00674
675,a05
676,a05
677,a17
678,a14
679,a05|a14
680,a05
681,a05|a14|a16
682,a05|a17|a18
683,a05|a14
684,a05|a14|a16
685,s00685
686,s00686
687,a05|a14|a16
688,s00688
689,a05
690,s00690
691,a05|a08|a14|a17
692,a08
693,s00693
694,s00694
695,a17|a18
696,a01|a05|a14|a17|a23|a41
697,a05|a14
698,a05|a14|a16
699,s00699
700,a05
701,a05|a14|a16
702,a05
703,a17
704,s00704
705,s00705
706,a05|a14|a16
707,a05|a36
708,s00708
709,s00709
710,s00710
711,a05|a10|a14
712,a05|a17
713,a05|a14
714,a07|a08|a10|a14
715,s00715
716,s00716
717,s00717
718,a17|a36
719,a17|a36
720,s00720
721,s00721
722,a14
723,a10|a14
724,s00724
725,a17|a19
726,a14
727,a16
728,a05|a14|a36
729,a05|a14
730,a17|a18
731,s00731
732,a05|a19|a34
733,s00733
734,a05|a14
735,a17|a36
736,a05
737,a05|a14
738,a05
739,s00739
740,a05|a14|a16
741,a05|a17
742,a05|a14|a16|a17|a22
743,s00743
744,a05|a08|a10|a14
745,a05|a14|a16
746,s00746
747,a05
748,a05|a14
749,a17
750,a05
751,s00751
752,a05
753,a05|a14|a16
754,a05|a17
755,a05|a17|a18
756,s00756
757,a05|a17|a18
758,a16
759,s00759
760,a01|a19
761,a05|a14|a17|a41
762,s00762
763,a05|a17
764,s00764
765,a08
766,s00766
767,a05|a17|a36
768,a05|a14
769,a10|a14
770,s00770
771,a07|a08|a10|a14
772,a05
773,a05|a14|a21
774,a05
775,s00775
776,s00776
777,a05|a17|a19
778,a05|a14
779,s00779
780,a01|a19
781,a17|a18
782,a07|a08|a10
783,s00783
784,a05|a17|a19
785,a05|a17|a18
786,a05|a19|a34
787,a05|a07|a10|a16
788,s00788
789,a01|a05|a14|a17|a23|a41
790,a05
791,a17|a19
792,a16
793,s00793
794,a05|a17
795,a05|a14
796,a05|a14
797,a05|a14
798,a14
799,a17|a18
800,a05|a14|a36
801,a14|a21
802,a05|a14|a16
803,s00803
804,s00804
805,a05|a19|a34
806,s00806
807,a05|a14
808,a05|a08|a14|a17
809,a05|a14|a16
810,a05|a14|a16
811,a01|a05
812,s00812
813,a05|a14
814,a08
815,a14
816,a05|a14|a17
817,a08
818,a05|a14|a17|a41
819,s00819
820,s00820
821,a05|a14|a16
822,a05|a14|a21
823,s00823
824,a05|a18
825,s00825
826,a05|a08|a10|a14
827,a14
828,a01|a05
829,a17|a36
830,a05|a14|a16
831,a07|a08|a10|a14
832,a17|a19
833,a14
834,s00834
835,a07
836,a01|a19
837,s00837
838,a05|a14|a16
839,s00839
840,s00840
841,s00841
842,a05|a14
843,a05
844,a16
845,a05|a08|a10|a14
846,a05|a08|a14|a17
847,s00847
848,s00848
849,s00849
850,a07|a08|a10|a14
851,s00851
852,a05|a17
853,a05|a17
854,a05|a10|a14
855,a14
856,s00856
857,a05
858,a14
859,s00859
860,a05|a36
861,s00861
862,a05|a14|a36
863,a05|a14|a21
864,a05|a17|a18
865,a17|a18
866,a05|a14
867,s00867
868,a08
869,a05|a14|a36
870,a05|a36
871,a01|a05|a32
872,s00872
873,a05|a14|a16
874,a01|a05
875,s00875
876,s00876
877,s00877
878,a05|a14|a16
879,a05|a14|a16
880,a05|a14|a41
881,s00881
882,s00882
883,a05
884,a05
885,s00885
886,s00886
887,a05
888,a05|a19|a34
889,a17
890,a05|a16
891,a17|a36
892,s00892
893,a05|a17
894,a05|a14
895,a08
896,a05
897,s00897
898,a17
899,s00899
900,s00900
901,a05|a14
902,a05|a17|a19
903,a05|a14|a41
904,a14
905,a05|a08|a10|a14
906,a05|a14|a21
907,a05|a14|a21
908,a05|a16
909,s00909
910,s00910
911,a05|a17
912,a10|a14
913,a01|a19
914,a01|a19
915,a05|a08|a10|a14
916,s00916
917,s00917
918,a05|a17|a19
919,s00919
920,s00920
921,a05|a17
922,a05|a19|a34
923,a05
924,s00924
925,a14
926,s00926
927,a05
928,a05
929,a05|a14
930,a05|a14|a16
931,a05|a14|a36
932,a05|a17
933,s00933
934,s00934
935,s00935
936,s00936
937,s00937
938,a05|a17|a18
939,a05|a14|a16
940,s00940
941,s00941
942,a05|a17
943,a05|a17|a18
944,a05|a14|a21
945,a05|a14
946,a10|a14
947,a17|a18
948,s00948
949,a17|a36
950,a05|a14|a16
951,s00951
952,a05|a17
953,a05|a17
954,a05|a17
955,a05|a14|a17|a41
956,s00956
957,a05|a14|a16
958,a17|a18
959,s00959
960,a01|a05
961,a05|a17|a36
962,a05|a08|a14|a17
963,a05|a17|a18
964,s00964
965,s00965
966,s00966
967,a01|a05
968,a01|a05|a14|a17|a23|a41
969,a05|a36
970,a05|a17|a36
971,a05|a19|a34
972,a05|a18
973,a05|a14|a16
974,a17|a18
975,a01|a05
976,a07
977,a08
978,a05
979,a05|a14
980,a05
981,a07|a08|a10
982,s00982
983,s00983
984,s00984
985,a14
986,a01|a19
987,a05
988,s00988
989,a05|a14
990,s00990
991,s00991
992,a05|a14|a36
993,a05|a14|a21
994,a17|a36
995,a05|a14|a16
996,s00996
997,s00997
998,s00998
999,s00999
1000,s01000
1001,s01001
1002,a14
1003,a05|a14|a16
1004,a05|a17|a18
1005,a10|a14
1006,s01006
1007,s01007
1008,a05|a14|a16|a17|a22
1009,a05|a36
1010,a05|a36
1011,a17
1012,a05|a17
1013,a05|a17
1014,a05|a17
1015,s01015
1016,a07|a08|a10|a14
1017,s01017
1018,a05
1019,a05|a14|a16
1020,s01020
1021,a05|a08|a14|a17
1022,a05|a17|a19
1023,a14
1024,s01024
1025,a05|a14
1026,a17|a36
1027,a10|a14
1028,s01028
1029,a05|a17
1030,a16
1031,s01031
1032,a17|a18
1033,s01033
1034,s01034
1035,a05|a17
1036,s01036
1037,a05|a14
1038,a17|a18
1039,a05|a14|a16
1040,a14
1041,s01041
1042,s01042
1043,a14
1044,a05|a14|a17|a41
1045,s01045
1046,a01|a05
1047,a14
1048,a03|a05|a17|a36
1049,a05|a14
1050,a01|a05|a14|a17|a23|a41
1051,a05
1052,a05|a08|a10|a14
1053,a10|a14
1054,s01054
1055,s01055
1056,s01056
1057,a05|a14|a16
1058,s01058
1059,a05|a17|a18
1060,a05|a17|a19
1061,a17
1062,a05
1063,a07
1064,s01064
1065,a05|a14|a16
1066,a17|a36
1067,a05|a19|a34
1068,a10|a14
1069,a14|a21
1070,s01070
1071,a05|a14
1072,s01072
1073,a16
1074,a05|a14|a36
1075,s01075
1076,a05
1077,s01077
1078,a07|a08|a10
1079,s01079
1080,a05|a14
1081,a01|a05
1082,s01082
1083,s01083
1084,a05
1085,a05|a14
1086,a16
1087,a14|a21
1088,a14
1089,a14
1090,s01090
1091,s01091
1092,s01092
1093,a05|a17|a19
1094,a05|a17|a36
1095,a01|a05
1096,a14
1097,a17|a19
1098,a05|a14|a16
1099,a05|a10|a14
1100,a14
1101,s01101
1102,a10|a14
1103,a05|a14
1104,s01104
1105,s01105
1106,a05|a14|a16|a17|a22
1107,s01107
1108,a08
1109,s01109
1110,s01110
1111,a05|a08|a14|a17
1112,s01112
1113,a17
1114,a05|a14
1115,s01115
1116,a05
1117,a07|a08|a10|a14
1118,a05|a36
1119,a14|a21
1120,a05|a14|a36
1121,a05|a14|a16
1122,s01122
1123,a03|a05|a17|a36
1124,a05
1125,s01125
1126,a05|a14
1127,s01127
1128,a01|a05
1129,a05
1130,a05|a08|a10|a14
1131,a05|a14|a17|a41
1132,a05|a18
1133,s01133
1134,s01134
1135,s01135
1136,a05|a18
1137,a17|a18
1138,a14
1139,s01139
1140,s01140
1141,a01|a05|a32
1142,s01142
1143,s01143
1144,a14|a21
1145,s01145
1146,a17|a19
1147,a05|a17
1148,a14
1149,a05|a07|a10|a16
1150,a05|a10|a14
1151,s01151
1152,s01152
1153,s01153
1154,a05
1155,a17|a36
1156,a05
1157,a05|a17
1158,a16
1159,a07|a08|a10
1160,a05|a14
1161,s01161
1162,s01162
1163,s01163
1164,a05|a14|a16
1165,a05|a10|a14
1166,a05
1167,s01167
1168,s01168
1169,s01169
1170,a05|a14|a16|a17|a22
1171,a14
1172,a05|a08|a14|a17
1173,s01173
1174,s01174
1175,s01175
1176,s01176
1177,a05|a14|a16
1178,a01|a05
1179,a17|a18
1180,a05|a10|a14
1181,s01181
1182,a05|a18
1183,s01183
1184,a05|a14|a17
1185,a14
1186,a05|a19|a34
1187,a05|a18
1188,a05|a08|a10|a14
1189,a17|a18
1190,s01190
1191,a01|a05|a32
1192,s01192
1193,a05|a14|a36
1194,a05|a14
1195,a05
1196,a03|a05|a17|a36
1197,a05|a14
1198,a14
1199,s01199
1200,a05|a14
1201,a05|a17
1202,a05|a14|a16
1203,a17|a36
1204,s01204
1205,a01|a05|a07|a08|a10|a14|a17
1206,a08
1207,a17|a18
1208,a01|a05|a14|a17|a23|a41
1209,a05|a14
1210,a01|a05
1211,a05|a17
1212,a17|a18
1213,s01213
1214,a05|a14
1215,a16
1216,a05|a17|a18
1217,a05|a14|a17
1218,a05|a17
1219,s01219
1220,a10|a14
1221,a14
1222,a05|a14|a16
1223,s01223
1224,a05|a08|a14|a17
1225,s01225
1226,a16
1227,a05|a17|a18
1228,a08
1229,a07|a08|a10|a14
1230,a05|a14
1231,a05|a14|a36
1232,a14
1233,a05
1234,a05|a14
1235,a08
1236,a05|a19|a34
1237,a07|a08|a10|a14
1238,a05|a17
1239,s01239
1240,s01240
1241,a05|a07|a10|a16
1242,a05|a17
1243,a05|a14|a41
1244,s01244
1245,a05|a08|a14|a17
1246,a05|a17|a18
1247,a05|a14|a16
1248,a05|a14|a17
1249,s01249
1250,s01250
1251,a17|a18
1252,a05|a17|a36
1253,a07|a08|a10|a14
1254,s01254
1255,a05|a36
1256,a10|a14
1257,a05|a14|a16
1258,s01258
1259,a05|a17|a36
1260,s01260
1261,a07|a08|a10
1262,a05|a14
1263,a05|a14
1264,a17|a19
1265,a05|a14|a16
1266,a07|a08|a10|a14
1267,a07|a08|a10|a14
1268,a17
1269,a05
1270,s01270
1271,a03|a05|a17|a36
1272,s01272
1273,a14
1274,a14
1275,s01275
1276,s01276
1277,s01277
1278,s01278
1279,a05|a14|a16
1280,a17|a19
1281,a17
1282,a08
1283,a05|a14
1284,s01284
1285,a14
1286,a05|a14|a16
1287,a16
1288,a07|a08|a10|a14
1289,a05|a14
1290,a05|a17|a18
1291,a03|a05|a17|a36
1292,a05|a14|a41
1293,a07|a08|a10
1294,a05|a17
1295,a16
1296,a01|a05
1297,a17|a19
1298,a17|a18
1299,a05|a14|a21
1300,a05|a17|a18
1301,s01301
1302,s01302
1303,s01303
1304,a08
1305,a05|a08|a14|a17
1306,a05
1307,s01307
1308,s01308
1309,a05|a14
1310,s01310
1311,a17|a18
1312,s01312
1313,a17|a18
1314,a05|a19|a34
1315,a05|a17|a18
1316,a03|a05|a17|a36
1317,a05|a17
1318,a05
1319,s01319
1320,s01320
1321,a05|a14|a36
1322,a07|a08|a10|a14
1323,s01323
1324,a05|a14
1325,a05|a17
1326,a05|a14|a17
1327,s01327
1328,a05|a08|a14|a17
1329,a05|a18
1330,a17|a36
1331,s01331
1332,a08
1333,s01333
1334,s01334
1335,s01335
1336,a05|a14|a16
1337,a05|a14|a36
1338,a17|a19
1339,s01339
1340,a10|a14
1341,s01341
1342,s01342
1343,a05|a07|a10|a16
1344,a05
1345,a05|a14|a16|a17|a22
1346,s01346
1347,a10|a14
1348,a05|a14|a16
1349,a05|a36
1350,a05|a14
1351,a07|a08|a10|a14
1352,a05|a19|a34
1353,s01353
1354,a01|a05
1355,s01355
1356,a05|a08|a14|a17
1357,a07
1358,a05|a14|a16
1359,a03|a05|a17|a36
1360,s01360
1361,a05|a14|a16
1362,a14|a21
1363,a17|a18
1364,s01364
1365,a05|a14
1366,a05|a14
1367,a05|a19|a34
1368,a05|a14
1369,a05|a14|a17
1370,s01370
1371,a17|a36
1372,s01372
1373,a17|a18
1374,a10|a14
1375,s01375
1376,a05|a16
1377,a05|a07|a10|a16
1378,a10|a14
1379,a14
1380,a05|a14
1381,a05|a36
1382,a05|a17|a18
1383,s01383
1384,a05|a36
1385,s01385
1386,a03|a05|a17|a36
1387,a05
1388,a01|a05|a14|a17|a23|a41
1389,a05|a14|a21
1390,a05|a14|a16
1391,a05
1392,a07|a08|a10
1393,a01|a05|a32
1394,s01394
1395,a05|a17|a18
1396,s01396
1397,a01|a05|a14|a17|a23|a41
1398,a05
1399,a05|a14
1400,a05|a14|a36
1401,a05|a14|a36
1402,a14
1403,a05|a36
1404,a05|a14
1405,a05|a36
1406,a05|a08|a14|a17
1407,a05|a08|a10|a14
1408,a05|a14
1409,a05|a14
1410,a05|a07|a10|a16
1411,s01411
1412,s01412
1413,s01413
1414,a05
1415,s01415
1416,a05|a14
1417,a08
1418,a17
1419,s01419
1420,a14
1421,a05|a17
1422,a05|a14|a16
1423,s01423
1424,a05|a17
1425,a17|a36
1426,s01426
1427,a05|a14|a16
1428,s01428
1429,a01|a05|a14|a17|a23|a41
1430,a05
1431,a05|a14|a16
1432,a05|a17
1433,a05|a14|a41
1434,s01434
1435,a14
1436,s01436
1437,s01437
1438,a17|a18
1439,a17
1440,a10|a14
1441,a05
1442,s01442
1443,a14
1444,a05|a08|a14|a17
1445,a07
1446,a05
1447,a05|a14|a16|a17|a22
1448,a05|a19|a34
1449,a05|a16
1450,a05
1451,a05|a14|a16|a17|a22
1452,a05|a14|a16
1453,s01453
1454,a05|a14
1455,a17|a36
1456,a01|a05|a32
1457,s01457
1458,a05|a14|a16
1459,a10|a14
1460,a05|a14|a17|a41
1461,s01461
1462,a05|a14|a16
1463,s01463
1464,s01464
1465,a05|a14
1466,a08
1467,a05
1468,s01468
1469,s01469
1470,s01470
1471,a17|a18
1472,a05|a14
1473,s01473
1474,s01474
1475,a05|a14|a16
1476,s01476
1477,a01|a05|a07|a08|a10|a14|a17
1478,a05|a14
1479,a14
1480,a05
1481,s01481
1482,a14
1483,a05|a14
1484,s01484
1485,a17|a36
1486,a05|a10|a14
1487,a05|a17
1488,a07
1489,a05
1490,a05
1491,a05|a14|a36
1492,a01|a05
1493,s01493
1494,a05|a36
1495,a10|a14
1496,a07
1497,a05|a17
1498,s01498
1499,a05|a17
1500,s01500
1501,a05|a10|a14
1502,a05|a10|a14
1503,s01503
1504,a05|a19|a34
1505,a05|a14
1506,s01506
1507,s01507
1508,a01|a05|a32
1509,a17|a36
1510,a05|a14
1511,a01|a05
1512,s01512
1513,a01|a05|a14|a17|a23|a41
1514,a05|a14|a16|a17|a22
1515,a17|a19
1516,a17|a18
1517,s01517
1518,s01518
1519,a05|a17
1520,a07|a08|a10|a14
1521,a16
1522,a05|a19|a34
1523,a05
1524,s01524
1525,a05|a14
1526,a05
1527,a05
1528,s01528
1529,s01529
1530,a16
1531,s01531
1532,a14
1533,a01|a05|a14|a17|a23|a41
1534,a05|a18
1535,a05|a14|a16|a17|a22
1536,a17|a36
1537,a05|a17|a18
1538,a14
1539,s01539
1540,a05|a14|a17|a41
1541,a07|a08|a10|a14
1542,a14
1543,a07|a08|a10|a14
1544,a14|a21
1545,a05|a14
1546,a05|a14|a16
1547,a08
1548,s01548
1549,a10|a14
1550,a14
1551,a05
1552,s01552
1553,a05|a19|a34
1554,a16
1555,a05|a16
1556,a05
1557,s01557
1558,a08
1559,s01559
1560,a05|a18
1561,s01561
1562,a05|a14|a16|a17|a22
1563,a03|a05|a17|a36
1564,a05|a18
1565,s01565
1566,s01566
1567,a05
1568,s01568
1569,s01569
1570,a07|a08|a10
1571,a05|a36
1572,a05|a14|a16|a17|a22
1573,a05|a08|a14|a17
1574,s01574
1575,a10|a14
1576,s01576
1577,a05|a08|a14|a17
1578,a14
1579,a05|a17
1580,a05
1581,a03|a05|a17|a36
1582,a05
1583,a07|a08|a10|a14
1584,a08
1585,s01585
1586,s01586
1587,s01587
1588,a05|a14
1589,s01589
1590,a05|a14|a16|a17|a22
1591,a05|a36
1592,a05|a14
1593,a05|a14|a16|a17|a22
1594,a05
1595,a16
1596,s01596
1597,s01597
1598,s01598
1599,a17|a18
1600,a05|a07|a10|a16
1601,a01|a05|a14|a17|a23|a41
1602,s01602
1603,s01603
1604,a07|a08|a10
1605,a01|a05
1606,a05|a14|a17|a41
1607,s01607
1608,a05|a17
1609,a17|a19
1610,s01610
1611,a05|a17|a18
1612,a05|a14
1613,s01613
1614,a01|a05|a32
1615,a05|a14|a16
1616,a05|a17
1617,s01617
1618,s01618
1619,a07|a08|a10|a14
1620,a05|a17
1621,s01621
1622,a10|a14
1623,a05|a14|a17
1624,a07|a08|a10|a14
1625,s01625
1626,a05|a17
1627,s01627
1628,a10|a14
1629,a05|a14
1630,s01630
1631,a05|a14|a21
1632,s01632
1633,a05|a14|a16
1634,a14
1635,a05|a16
1636,a05|a17
1637,a01|a05|a32
1638,a03|a05|a17|a36
1639,a05|a18
1640,a05|a17
