egoid,venues_all,venues_dating,venues_nondating
97,v0050|v0389|v0391,s00097,v0050|v0389|v0391
98,v0087|v0651|v1071,s00098,v0087|v0651|v1071
99,v0274|v0998|v1074,v0998,v0274|v1074
100,s00100,s00100,s00100
101,v0221|v0245|v0390,v0245,v0221|v0390
102,s00102,s00102,s00102
103,v0599,s00103,v0599
104,v0468|v0489,v0489,v0468
105,v0165|v0804|v0875,s00105,v0165|v0804|v0875
106,v0223|v0998,v0998,v0223
107,v0128|v0786,s00107,v0128|v0786
108,v0266|v1079,s00108,v0266|v1079
109,v0389|v1136|v1189,s00109,v0389|v1136|v1189
110,v0222|v0262,s00110,v0222|v0262
111,v0109|v0388|v0432,s00111,v0109|v0388|v0432
112,s00112,s00112,s00112
113,s00113,s00113,s00113
114,v0262|v0266|v0358|v0964,s00114,v0262|v0266|v0358|v0964
115,v1079|v1198,s00115,v1079|v1198
116,v0125|v0960|v0994,v0994,v0125|v0960
117,v0982,s00117,v0982
118,v0050,s00118,v0050
119,s00119,s00119,s00119
120,v0264,s00120,v0264
121,v0698|v0828,s00121,v0698|v0828
122,v0047|v0793|v0923|v1010|v1013|v1189,v0047|v1010|v1013,v0793|v0923|v1189
123,v0109|v0917|v0996|v1062|v1219,v0917,v0109|v0996|v1062|v1219
124,v0917|v1127,v0917,v1127
125,v0165,s00125,v0165
126,v0375|v0390,s00126,v0375|v0390
127,v0236|v0960,s00127,v0236|v0960
128,v0390|v0839|v0980,v0839,v0390|v0980
129,v0911,s00129,v0911
130,v1169,s00130,v1169
131,v0388|v0389,s00131,v0388|v0389
132,v0645,s00132,v0645
133,s00133,s00133,s00133
134,v0903,s00134,v0903
135,v0109|v0262,s00135,v0109|v0262
136,v0975|v1013,v0975|v1013,s00136
137,v0050|v0097|v0393,s00137,v0050|v0097|v0393
138,v0390|v0407,s00138,v0390|v0407
139,v0134|v0738|v0863|v0974|v0975,v0738|v0974|v0975,v0134|v0863
140,v0355|v0651,s00140,v0355|v0651
141,v0109|v0262,s00141,v0109|v0262
142,v0903|v1178,s00142,v0903|v1178
143,v0999,s00143,v0999
144,v0087|v0194,s00144,v0087|v0194
145,v0274|v0389|v0391|v0665,s00145,v0274|v0389|v0391|v0665
146,v0274|v0603|v0724|v0912,s00146,v0274|v0603|v0724|v0912
147,v0097|v0391|v1122,s00147,v0097|v0391|v1122
148,v0731,s00148,v0731
149,v0274|v0389|v0391|v1127,s00149,v0274|v0389|v0391|v1127
150,v0804,s00150,v0804
151,v0050|v0087|v0298|v0793|v0964|v1190,s00151,v0050|v0087|v0298|v0793|v0964|v1190
152,v0390,s00152,v0390
153,s00153,s00153,s00153
154,v0197|v0262,v0197,v0262
155,v0992,v0992,s00155
156,v0661,s00156,v0661
157,v0635|v0855|v1153,s00157,v0635|v0855|v1153
158,v0274|v0389|v1127,s00158,v0274|v0389|v1127
159,v0389|v0665|v0970|v1189,s00159,v0389|v0665|v0970|v1189
160,v0262,s00160,v0262
161,s00161,s00161,s00161
162,v0533,s00162,v0533
163,v0389|v0391|v1127,s00163,v0389|v0391|v1127
164,v0109|v0390|v0576,s00164,v0109|v0390|v0576
165,v0087|v1091,s00165,v0087|v1091
166,v0264|v0961,v0961,v0264
167,v0980,s00167,v0980
168,v0464|v0928|v0946,s00168,v0464|v0928|v0946
169,v0923,s00169,v0923
170,v0786|v0960,s00170,v0786|v0960
171,s00171,s00171,s00171
172,v0532|v0799|v0974,v0974,v0532|v0799
173,v0946|v1079,s00173,v0946|v1079
174,v0843,v0843,s00174
175,v0264,s00175,v0264
176,v0050|v0391,s00176,v0050|v0391
177,v0604|v0786|v0974|v0998,v0974|v0998,v0604|v0786
178,v0104|v1184,v0104,v1184
179,v0804,s00179,v0804
180,v0388|v0735|v1164,s00180,v0388|v0735|v1164
181,v0275|v0391,s00181,v0275|v0391
182,v0049|v0221|v0980,s00182,v0049|v0221|v0980
183,s00183,s00183,s00183
184,v0050|v0391|v0720,s00184,v0050|v0391|v0720
185,v0336|v0603|v0665|v0923|v0960,s00185,v0336|v0603|v0665|v0923|v0960
186,v0050|v0391|v0793,s00186,v0050|v0391|v0793
187,v0274|v0665|v1136|v1189,s00187,v0274|v0665|v1136|v1189
188,v0388|v0999,s00188,v0388|v0999
189,v0464|v0928|v0946,s00189,v0464|v0928|v0946
190,v0109|v0262,s00190,v0109|v0262
191,v0340|v0764|v1127,v0340|v0764,v1127
192,v0049,s00192,v0049
193,v0165|v0647,s00193,v0165|v0647
194,v0246|v0266|v0389|v0406,s00194,v0246|v0266|v0389|v0406
195,v0665,s00195,v0665
196,v0050|v0165,s00196,v0050|v0165
197,v0604|v0974,v0974,v0604
198,v0050|v0097,s00198,v0050|v0097
199,v0221|v0665|v0687|v1005,s00199,v0221|v0665|v0687|v1005
200,v0998,v0998,s00200
201,s00201,s00201,s00201
202,s00202,s00202,s00202
203,v0050|v0087|v0793|v0797|v1007,s00203,v0050|v0087|v0793|v0797|v1007
204,v0390,s00204,v0390
205,v0087|v0707|v0895,s00205,v0087|v0707|v0895
206,v0391|v1122,s00206,v0391|v1122
207,v0982|v0992|v0998,v0992|v0998,v0982
208,s00208,s00208,s00208
209,v0389,s00209,v0389
210,v0221|v0270,s00210,v0221|v0270
211,v0266|v0389|v0651,s00211,v0266|v0389|v0651
212,v0167|v0270,s00212,v0167|v0270
213,v0096,v0096,s00213
214,v0270|v0665,s00214,v0270|v0665
215,s00215,s00215,s00215
216,v0389|v1189,s00216,v0389|v1189
217,v0369,v0369,s00217
218,v0266|v0992,v0992,v0266
219,v0266|v0389|v0406|v0855,s00219,v0266|v0389|v0406|v0855
220,v0251,s00220,v0251
221,v0050|v0087|v0464|v0999|v1005,s00221,v0050|v0087|v0464|v0999|v1005
222,v0262,s00222,v0262
223,v0043|v0264,s00223,v0043|v0264
224,v0050,s00224,v0050
225,v0222|v0291|v0875|v1079,s00225,v0222|v0291|v0875|v1079
226,v0109|v0388|v0432|v0643,s00226,v0109|v0388|v0432|v0643
227,v0251,s00227,v0251
228,v0274|v0389|v0665,s00228,v0274|v0389|v0665
229,v0081,s00229,v0081
230,v0390,s00230,v0390
231,v0050|v0262|v0999,s00231,v0050|v0262|v0999
232,v0665,s00232,v0665
233,v0262|v0828,s00233,v0262|v0828
234,v1082,s00234,v1082
235,v0336|v0389|v0661|v0923,s00235,v0336|v0389|v0661|v0923
236,v0665|v0687,s00236,v0665|v0687
237,v0266|v0338|v0651,s00237,v0266|v0338|v0651
238,v0068|v0665,s00238,v0068|v0665
239,v0262|v0266|v0358|v0964,s00239,v0262|v0266|v0358|v0964
240,s00240,s00240,s00240
241,v0390|v0828,s00241,v0390|v0828
242,v0598,s00242,v0598
243,v0665|v1110,s00243,v0665|v1110
244,s00244,s00244,s00244
245,v0221|v0540,s00245,v0221|v0540
246,v0812,v0812,s00246
247,s00247,s00247,s00247
248,v0027|v0396|v1189,s00248,v0027|v0396|v1189
249,v0319|v0346|v0439|v0599|v1219,v0319,v0346|v0439|v0599|v1219
250,v0262|v0828,s00250,v0262|v0828
251,v0389|v0391|v1127,s00251,v0389|v0391|v1127
252,v0050|v0875,s00252,v0050|v0875
253,s00253,s00253,s00253
254,v0390,s00254,v0390
255,v0109|v0262,s00255,v0109|v0262
256,s00256,s00256,s00256
257,v0665,s00257,v0665
258,v0165,s00258,v0165
259,v0259,s00259,v0259
260,v0665|v0687|v0944,s00260,v0665|v0687|v0944
261,v0464|v0793|v0946,s00261,v0464|v0793|v0946
262,v0221,s00262,v0221
263,s00263,s00263,s00263
264,s00264,s00264,s00264
265,v0390,s00265,v0390
266,v0109|v0389|v0974,v0974,v0109|v0389
267,v0928,s00267,v0928
268,s00268,s00268,s00268
269,v0049|v0667|v0855|v0959|v1153,s00269,v0049|v0667|v0855|v0959|v1153
270,v0321|v0464|v0665|v0998|v1219,v0998,v0321|v0464|v0665|v1219
271,v0177|v0599|v0603|v0661|v0960,s00271,v0177|v0599|v0603|v0661|v0960
272,v1091,s00272,v1091
273,s00273,s00273,s00273
274,v0389|v0665|v0970|v1189,s00274,v0389|v0665|v0970|v1189
275,v0128|v0432,s00275,v0128|v0432
276,v0065|v0388|v0389,s00276,v0065|v0388|v0389
277,v0185,s00277,v0185
278,v0002|v0895|v1189,s00278,v0002|v0895|v1189
279,v0266|v0992,v0992,v0266
280,s00280,s00280,s00280
281,v0104|v0636,v0104,v0636
282,v0104|v0636|v0974,v0104|v0974,v0636
283,v0050|v0270,s00283,v0050|v0270
284,v0087|v0524|v0636,v0524,v0087|v0636
285,v0050|v0104,v0104,v0050
286,s00286,s00286,s00286
287,s00287,s00287,s00287
288,v0223,s00288,v0223
289,v0050|v0262|v0389|v0804|v0999,s00289,v0050|v0262|v0389|v0804|v0999
290,v0274|v0389|v1189,s00290,v0274|v0389|v1189
291,v1105,s00291,v1105
292,v0391|v0661|v0665|v1105,s00292,v0391|v0661|v0665|v1105
293,v0251,s00293,v0251
294,v0134|v0388|v1164,s00294,v0134|v0388|v1164
295,v0982,s00295,v0982
296,v0081,s00296,v0081
297,v0043|v0264|v0648,v0648,v0043|v0264
298,s00298,s00298,s00298
299,v0303|v1189,v0303,v1189
300,v0319|v0360|v1124|v1177,v0319,v0360|v1124|v1177
301,s00301,s00301,s00301
302,v0251|v0996,s00302,v0251|v0996
303,v0050,s00303,v0050
304,v0050|v0262|v0389|v0804,s00304,v0050|v0262|v0389|v0804
305,v0050|v0391|v0532,s00305,v0050|v0391|v0532
306,v0390,s00306,v0390
307,v0050|v0262,s00307,v0050|v0262
308,v0109|v0388,s00308,v0109|v0388
309,v0097|v0270,s00309,v0097|v0270
310,s00310,s00310,s00310
311,s00311,s00311,s00311
312,v0197|v0262,v0197,v0262
313,v0221,s00313,v0221
314,s00314,s00314,s00314
315,v0388|v0875|v1007|v1043,s00315,v0388|v0875|v1007|v1043
316,v0540|v0745|v1110|v1216,s00316,v0540|v0745|v1110|v1216
317,v0665|v0687,s00317,v0665|v0687
318,v0464|v0946,s00318,v0464|v0946
319,v0274|v0390,s00319,v0274|v0390
320,v0388|v0805,s00320,v0388|v0805
321,v0221,s00321,v0221
322,v0262|v0489|v0974,v0489|v0974,v0262
323,v0262|v0942,s00323,v0262|v0942
324,v0165,s00324,v0165
325,v0260|v0923|v0994,v0260|v0994,v0923
326,v0221|v1189,s00326,v0221|v1189
327,v0264|v0390|v0665|v0960,s00327,v0264|v0390|v0665|v0960
328,v0246|v0266|v0651,s00328,v0246|v0266|v0651
329,v0533|v0980|v1189,s00329,v0533|v0980|v1189
330,v0224|v1169,s00330,v0224|v1169
331,v0050|v0507|v0793,s00331,v0050|v0507|v0793
332,v0520,v0520,s00332
333,v0665|v0970|v1074,s00333,v0665|v0970|v1074
334,v0390,s00334,v0390
335,v0251,s00335,v0251
336,v0109|v0262,s00336,v0109|v0262
337,v0035|v0390,s00337,v0035|v0390
338,v0388|v0886,s00338,v0388|v0886
339,v0043|v0264,s00339,v0043|v0264
340,s00340,s00340,s00340
341,v0109,s00341,v0109
342,v0388|v0665|v0804|v1164,s00342,v0388|v0665|v0804|v1164
343,v0599|v0974|v1177|v1189,v0974,v0599|v1177|v1189
344,v0262,s00344,v0262
345,s00345,s00345,s00345
346,v0390,s00346,v0390
347,v0487,s00347,v0487
348,s00348,s00348,s00348
349,v0051|v0221|v0245|v0390|v0789|v0998|v1000,v0051|v0245|v0998|v1000,v0221|v0390|v0789
350,v0221|v0390,s00350,v0221|v0390
351,v0358|v0520|v0831,v0520,v0358|v0831
352,v0481|v0980,s00352,v0481|v0980
353,v0081,s00353,v0081
354,v0268|v0599,s00354,v0268|v0599
355,v0262|v0828,s00355,v0262|v0828
356,v0109|v0388|v0432,s00356,v0109|v0388|v0432
357,v0176|v0389|v0390|v0665,s00357,v0176|v0389|v0390|v0665
358,s00358,s00358,s00358
359,s00359,s00359,s00359
360,v0262|v1085,v1085,v0262
361,v0804,s00361,v0804
362,v0050|v0960|v1100,s00362,v0050|v0960|v1100
363,v0050,s00363,v0050
364,v0355|v0636|v0667|v0855|v1153,s00364,v0355|v0636|v0667|v0855|v1153
365,v0221|v0390|v0839|v0998,v0839|v0998,v0221|v0390
366,v0109|v0326|v0599|v0895|v0994,v0994,v0109|v0326|v0599|v0895
367,s00367,s00367,s00367
368,v0262|v0266|v0358|v0964,s00368,v0262|v0266|v0358|v0964
369,s00369,s00369,s00369
370,v0270,s00370,v0270
371,v0606|v0974,v0974,v0606
372,v0340|v1127,v0340,v1127
373,v0262|v0358|v0964,s00373,v0262|v0358|v0964
374,s00374,s00374,s00374
375,v0361|v0793|v0923|v1074|v1189,v0361,v0793|v0923|v1074|v1189
376,v0050|v0391|v0793,s00376,v0050|v0391|v0793
377,v0102|v0390|v0970,s00377,v0102|v0390|v0970
378,v0375|v0390,s00378,v0375|v0390
379,s00379,s00379,s00379
380,v0087|v0274,s00380,v0087|v0274
381,v0388|v0432,s00381,v0388|v0432
382,v0222,s00382,v0222
383,v0043|v0264,s00383,v0043|v0264
384,v0844,s00384,v0844
385,v0389|v0391,s00385,v0389|v0391
386,v0974|v0975,v0974|v0975,s00386
387,v0393|v0665,s00387,v0393|v0665
388,v0083|v0974,v0974,v0083
389,v0391|v0665|v1127,s00389,v0391|v0665|v1127
390,v0804,s00390,v0804
391,s00391,s00391,s00391
392,v0065|v0388|v0389,s00392,v0065|v0388|v0389
393,v0109|v0262,s00393,v0109|v0262
394,v0266|v0375|v0651,s00394,v0266|v0375|v0651
395,v0388|v0389|v0603,s00395,v0388|v0389|v0603
396,s00396,s00396,s00396
397,v0928,s00397,v0928
398,v0195|v0804,s00398,v0195|v0804
399,v0389|v0390,s00399,v0389|v0390
400,v0050|v0097|v0563,s00400,v0050|v0097|v0563
401,s00401,s00401,s00401
402,v0212|v0388|v0429|v0875,s00402,v0212|v0388|v0429|v0875
403,v0198|v0319|v1062,v0319,v0198|v1062
404,v0128|v0388|v0875,s00404,v0128|v0388|v0875
405,v0390,s00405,v0390
406,v0068|v0259,s00406,v0068|v0259
407,v0262|v0955,v0955,v0262
408,v0049|v0321|v0489|v1003|v1198,v0489,v0049|v0321|v1003|v1198
409,v0274|v0389,s00409,v0274|v0389
410,v0389|v0980,s00410,v0389|v0980
411,v0960|v0974|v1074|v1189,v0974,v0960|v1074|v1189
412,v0388|v0730,s00412,v0388|v0730
413,v0390,s00413,v0390
414,v0793,s00414,v0793
415,v0331|v0390|v0998|v1000,v0998|v1000,v0331|v0390
416,v0270|v0390|v0595|v0789,s00416,v0270|v0390|v0595|v0789
417,v0960,s00417,v0960
418,v0221,s00418,v0221
419,v0176|v1003,s00419,v0176|v1003
420,v0389,s00420,v0389
421,v0245|v0390|v1161,v0245,v0390|v1161
422,v0928|v0946,s00422,v0928|v0946
423,v0274|v0389|v0665|v0970,s00423,v0274|v0389|v0665|v0970
424,v0197,v0197,s00424
425,s00425,s00425,s00425
426,v0388|v0803|v0875|v0883|v0959|v1072,s00426,v0388|v0803|v0875|v0883|v0959|v1072
427,v0274|v0603|v0661,s00427,v0274|v0603|v0661
428,v0390,s00428,v0390
429,v0262,s00429,v0262
430,v0223,s00430,v0223
431,v0665,s00431,v0665
432,v0087|v0481|v1110,s00432,v0087|v0481|v1110
433,v0262|v0974|v1085,v0974|v1085,v0262
434,v0251|v0891,s00434,v0251|v0891
435,v0264|v0974,v0974,v0264
436,s00436,s00436,s00436
437,v0027|v0087|v0266|v0389|v0406|v0651,s00437,v0027|v0087|v0266|v0389|v0406|v0651
438,v0050|v0389|v0391,s00438,v0050|v0389|v0391
439,v0262,s00439,v0262
440,v0389|v0980,s00440,v0389|v0980
441,v0388|v0556|v0636|v0875|v0896|v1066|v1079,s00441,v0388|v0556|v0636|v0875|v0896|v1066|v1079
442,v0102,s00442,v0102
443,v0923|v1169,s00443,v0923|v1169
444,v0300|v0960|v1007|v1100,v0300,v0960|v1007|v1100
445,v0262|v0828,s00445,v0262|v0828
446,s00446,s00446,s00446
447,v0087|v0793|v1074,s00447,v0087|v0793|v1074
448,v0262|v0358|v0964,s00448,v0262|v0358|v0964
449,s00449,s00449,s00449
450,v0069|v0388|v0875|v0881,s00450,v0069|v0388|v0875|v0881
451,v0804,s00451,v0804
452,v0224|v1169,s00452,v0224|v1169
453,v0622|v1110,s00453,v0622|v1110
454,v0176|v0977,s00454,v0176|v0977
455,v0606,s00455,v0606
456,v0050|v0087|v0793|v0797|v1137,s00456,v0050|v0087|v0793|v0797|v1137
457,v0262|v0358,s00457,v0262|v0358
458,v0687,s00458,v0687
459,v0388|v1107,s00459,v0388|v1107
460,v0050|v0109,s00460,v0050|v0109
461,v0358|v0520|v0974|v0992,v0520|v0974|v0992,v0358
462,v0221|v0270|v0358,s00462,v0221|v0270|v0358
463,v0221|v0262|v0358,s00463,v0221|v0262|v0358
464,v0050|v0390,s00464,v0050|v0390
465,v0687|v0980,s00465,v0687|v0980
466,v0388|v0541|v0789,s00466,v0388|v0541|v0789
467,v0980,s00467,v0980
468,v0185|v0567,s00468,v0185|v0567
469,v0119|v0134|v0863|v1000,v1000,v0119|v0134|v0863
470,s00470,s00470,s00470
471,s00471,s00471,s00471
472,v0793|v0824|v0993|v1189,v0824|v0993,v0793|v1189
473,v0259,s00473,v0259
474,v0358|v0602|v0665|v0793|v0974|v1177,v0974,v0358|v0602|v0665|v0793|v1177
475,v0262|v0828,s00475,v0262|v0828
476,v0389|v0391,s00476,v0389|v0391
477,v0520,v0520,s00477
478,v0251,s00478,v0251
479,v0221|v0665|v0687,s00479,v0221|v0665|v0687
480,v0068|v0259|v0665,s00480,v0068|v0259|v0665
481,v0982,s00481,v0982
482,s00482,s00482,s00482
483,v0956,s00483,v0956
484,v0049|v0058|v0388|v0667,s00484,v0049|v0058|v0388|v0667
485,v0982,s00485,v0982
486,v0031|v0259,s00486,v0031|v0259
487,s00487,s00487,s00487
488,s00488,s00488,s00488
489,v0429|v0804|v0875|v0896,s00489,v0429|v0804|v0875|v0896
490,s00490,s00490,s00490
491,s00491,s00491,s00491
492,v0665|v0687,s00492,v0665|v0687
493,v0050|v0241|v0391,s00493,v0050|v0241|v0391
494,v0221|v0665|v0687,s00494,v0221|v0665|v0687
495,v0388|v0665|v1140|v1164,s00495,v0388|v0665|v1140|v1164
496,v0667|v0804|v0995,v0995,v0667|v0804
497,v0262,s00497,v0262
498,s00498,s00498,s00498
499,v0268|v0999,s00499,v0268|v0999
500,v0423|v1164,s00500,v0423|v1164
501,v0390,s00501,v0390
502,v0109|v0262,s00502,v0109|v0262
503,v0221|v0665,s00503,v0221|v0665
504,v0928|v0946,s00504,v0928|v0946
505,v0068|v0259,s00505,v0068|v0259
506,v0262|v0513|v0828,s00506,v0262|v0513|v0828
507,v0002|v0274|v0319|v1062,v0319,v0002|v0274|v1062
508,v0165,s00508,v0165
509,v0429|v0974|v0975,v0974|v0975,v0429
510,v0262|v0637,v0637,v0262
511,v0911|v1155,s00511,v0911|v1155
512,v0262|v1085,v1085,v0262
513,v0665|v0687,s00513,v0665|v0687
514,v0176|v0389|v0390|v0665|v0803,s00514,v0176|v0389|v0390|v0665|v0803
515,s00515,s00515,s00515
516,s00516,s00516,s00516
517,v0793|v0960|v0961|v0974|v1189,v0961|v0974,v0793|v0960|v1189
518,v0331|v0687,s00518,v0331|v0687
519,v0390,s00519,v0390
520,v0264,s00520,v0264
521,v0389|v0665|v1127,s00521,v0389|v0665|v1127
522,v0128|v0532|v0863|v1000,v1000,v0128|v0532|v0863
523,v0388|v0665|v1164,s00523,v0388|v0665|v1164
524,v0389|v0665|v1189,s00524,v0389|v0665|v1189
525,v0251|v1068,s00525,v0251|v1068
526,s00526,s00526,s00526
527,v0946,s00527,v0946
528,s00528,s00528,s00528
529,s00529,s00529,s00529
530,v0391|v0423,s00530,v0391|v0423
531,v0262|v0489|v0975,v0489|v0975,v0262
532,v0197|v0262|v0975|v1085,v0197|v0975|v1085,v0262
533,v1136,s00533,v1136
534,v0464|v0603|v0724|v0923,s00534,v0464|v0603|v0724|v0923
535,s00535,s00535,s00535
536,v0928|v0946,s00536,v0928|v0946
537,v1141,s00537,v1141
538,s00538,s00538,s00538
539,v0388|v0799|v1164,s00539,v0388|v0799|v1164
540,v0274|v0389,s00540,v0274|v0389
541,v0998,v0998,s00541
542,v0221|v0262|v0266|v0964,s00542,v0221|v0262|v0266|v0964
543,v0804,s00543,v0804
544,v1199,s00544,v1199
545,v0391|v1074|v1122,s00545,v0391|v1074|v1122
546,v0388|v0389,s00546,v0388|v0389
547,v0974|v0975,v0974|v0975,s00547
548,v0599,s00548,v0599
549,v0268,s00549,v0268
550,v0049|v0259|v0665,s00550,v0049|v0259|v0665
551,v1189,s00551,v1189
552,v0071|v1079,s00552,v0071|v1079
553,s00553,s00553,s00553
554,v0068|v0259|v0665,s00554,v0068|v0259|v0665
555,v0051|v0221|v0346|v0390|v0789|v0998,v0051|v0998,v0221|v0346|v0390|v0789
556,s00556,s00556,s00556
557,v0087|v0724|v0912|v0960,s00557,v0087|v0724|v0912|v0960
558,v0050|v0262,s00558,v0050|v0262
559,v0980,s00559,v0980
560,v0222,s00560,v0222
561,v0251,s00561,v0251
562,v0960,s00562,v0960
563,v0812|v0994|v1010|v1189,v0812|v0994|v1010,v1189
564,v0917|v1127,v0917,v1127
565,v0391|v1199,s00565,v0391|v1199
566,v0087|v0266|v1141,s00566,v0087|v0266|v1141
567,v0259|v0970|v1074,s00567,v0259|v0970|v1074
568,s00568,s00568,s00568
569,s00569,s00569,s00569
570,v0049|v1141,s00570,v0049|v1141
571,v0793|v0808|v0824|v0992|v0994|v1074,v0824|v0992|v0994,v0793|v0808|v1074
572,v0050|v0176|v0241|v0389|v0391,s00572,v0050|v0176|v0241|v0389|v0391
573,v0389,s00573,v0389
574,s00574,s00574,s00574
575,v0606,s00575,v0606
576,v0804,s00576,v0804
577,v0221|v1189,s00577,v0221|v1189
578,s00578,s00578,s00578
579,v0388|v0735|v0875|v0959|v1137,s00579,v0388|v0735|v0875|v0959|v1137
580,v0960,s00580,v0960
581,s00581,s00581,s00581
582,v0015|v0049|v0221|v0980,s00582,v0015|v0049|v0221|v0980
583,v1199,s00583,v1199
584,v0489|v0808|v0993|v1074|v1189,v0489|v0993,v0808|v1074|v1189
585,v0068|v1079,s00585,v0068|v1079
586,v0027|v0266|v0651,s00586,v0027|v0266|v0651
587,v0109|v0390|v0998|v1161,v0998,v0109|v0390|v1161
588,v0262|v0828,s00588,v0262|v0828
589,v0388|v0838|v0875|v1066|v1141,s00589,v0388|v0838|v0875|v1066|v1141
590,v0665|v1110,s00590,v0665|v1110
591,v0843,v0843,s00591
592,v0665|v0687,s00592,v0665|v0687
593,s00593,s00593,s00593
594,s00594,s00594,s00594
595,v0388|v1164,s00595,v0388|v1164
596,v1091,s00596,v1091
597,v0049|v0056|v0251|v0375|v0855,s00597,v0049|v0056|v0251|v0375|v0855
598,v0262|v0389,s00598,v0262|v0389
599,v0262|v0389|v0999,s00599,v0262|v0389|v0999
600,s00600,s00600,s00600
601,v0999,s00601,v0999
602,v0050,s00602,v0050
603,v0266,s00603,v0266
604,v1141,s00604,v1141
605,v0358|v1148,s00605,v0358|v1148
606,v0104,v0104,s00606
607,v0291|v0615|v0875|v0883,s00607,v0291|v0615|v0875|v0883
608,s00608,s00608,s00608
609,s00609,s00609,s00609
610,v0262|v0828,s00610,v0262|v0828
