,numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc,age,empirical_egos_list,assigned_empego_for_venues,assigned_empego,venue_list,init_ser_cat,init_cas_cat,init_pers_cat,any_serious,assigned_empego_rel,appslist_rel,assigned_empego_norel,appslist_norel,appslist
425,154,s00154,whiteNH,16to20,1,W/<20,19.88493150684932,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e263,e263,v0109|v0319|v0599|v0665|v1177|v1181|v1219|v1229,1+,0,1,1,e636,a14,e263,s00154,a14
362,155,s00155,whiteNH,16to20,1,W/<20,16.312328767123287,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e322,e322,v0197|v0262|v0974|v0975|v1085,0,2+,3+,0,e322,a05|a17|a36,e472,a05|a14|a16|a17,a05|a14|a16|a17
241,200,s00200,whiteNH,16to20,1,W/<20,19.5013698630137,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e322,e322,v0197|v0262|v0974|v0975|v1085,0,2+,3+,0,e322,a05|a17|a36,e472,a05|a14|a16|a17,a05|a14|a16|a17
384,203,s00203,whiteNH,16to20,1,W/<20,18.991780821917807,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e406,e406,v0274|v0389|v0390,0,0,0,0,e406,a05|a14,e037,a05,a05
46,205,s00205,whiteNH,16to20,1,W/<20,19.232876712328768,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e304,e304,v0176|v0183|v0185|v0704,1+,0,1,1,e165,a05|a14,e304,s00205,a05|a14
231,211,s00211,whiteNH,16to20,1,W/<20,19.065753424657533,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e078,e078,v0050|v0262|v0389|v0804|v0998|v0999,0,0,0,0,e078,a05|a14|a17|a21|a36,e255,s00211,s00211
382,271,s00271,whiteNH,16to20,1,W/<20,19.78356164383561,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e143,e143,v0068|v0070|v0259|v0665|v1203,1+,2+,3+,1,e480,a14,e143,a05|a07|a10|a14,a14
226,299,s00299,whiteNH,16to20,1,W/<20,18.88493150684932,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e480,e480,v0389|v0665,0,0,0,0,e480,a14,e037,a05,a05
48,320,s00320,whiteNH,16to20,1,W/<20,19.0,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e109,e109,v0049|v0056|v0058|v0109|v0667|v0855|v0881|v0999|v1153,0,0,0,0,e109,s00320,e257,a05,a05
168,329,s00329,whiteNH,16to20,1,W/<20,19.10136986301369,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e366,e366,v0221|v0599|v0667,0,0,0,0,e366,a05|a14,e030,a05,a05
137,333,s00333,whiteNH,16to20,1,W/<20,19.386301369863013,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e472,e472,v0389|v0390|v0407|v0499,0,0,0,1,e321,a05|a14,e472,a05|a14|a16|a17,a05|a14
133,342,s00342,whiteNH,16to20,1,W/<20,16.93972602739726,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e406,e406,v0274|v0389|v0390,0,0,0,0,e406,a05|a14,e336,a05|a14|a41,a05|a14|a41
239,403,s00403,whiteNH,16to20,1,W/<20,19.304109589041097,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e257,e257,v0109|v0262|v0942,0,0,0,1,e366,a05|a14,e257,a05,a05|a14
412,404,s00404,whiteNH,16to20,1,W/<20,18.36986301369863,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e014,e014,v0011|v0176|v0180|v0268|v0358|v0495|v0599|v0668|v0999,1+,0,1,1,e080,a05|a14,e014,s00404,a05|a14
155,410,s00410,whiteNH,16to20,1,W/<20,16.82191780821918,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e551,e551,v0661|v0707|v0711|v0888|v0895|v0960,0,0,0,1,e411,a14|a16,e551,a12,a14|a16
23,416,s00416,whiteNH,16to20,1,W/<20,18.471232876712328,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e142,e142,v0065|v0185|v0388|v0389|v0586|v0603|v0905,0,0,0,0,e142,a05|a17,e030,a05,a05
52,462,s00462,whiteNH,16to20,1,W/<20,16.101369863013698,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e551,e551,v0661|v0707|v0711|v0888|v0895|v0960,0,0,0,1,e501,a05,e551,a12,a05
366,472,s00472,whiteNH,16to20,1,W/<20,20.46301369863013,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e142,e142,v0065|v0185|v0388|v0389|v0586|v0603|v0905,0,0,0,0,e142,a05|a17,e440,s00472,s00472
461,486,s00486,whiteNH,16to20,1,W/<20,20.97808219178082,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e236,e236,v0107|v0598|v0665|v0974|v0992,0,0,0,0,e236,a05|a14,e440,s00486,s00486
111,496,s00496,whiteNH,16to20,1,W/<20,19.18904109589041,"['e014', 'e025', 'e030', 'e037', 'e065', 'e068', 'e077', 'e078', 'e080', 'e084', 'e085', 'e088', 'e089', 'e090', 'e109', 'e114', 'e127', 'e142', 'e143', 'e158', 'e165', 'e169', 'e173', 'e178', 'e236', 'e255', 'e257', 'e261', 'e263', 'e284', 'e296', 'e297', 'e304', 'e321', 'e322', 'e335', 'e336', 'e347', 'e350', 'e366', 'e371', 'e377', 'e385', 'e397', 'e398', 'e401', 'e402', 'e404', 'e406', 'e410', 'e411', 'e440', 'e462', 'e472', 'e480', 'e484', 'e485', 'e486', 'e501', 'e546', 'e551', 'e561', 'e562', 'e576', 'e580', 'e587', 'e590', 'e596', 'e617', 'e622', 'e631', 'e632', 'e636']",e078,e078,v0050|v0262|v0389|v0804|v0998|v0999,0,0,0,0,e078,a05|a14|a17|a21|a36,e089,a05|a36,a05|a36
