venueid,venuetype
v0098,school-college-university
v0099,school-college-university
v0100,restaurant-coffeeshop
v0101,museum-library-attraction-casino
v0102,restaurant-coffeeshop
v0103,restaurant-coffeeshop
v0104,bar-club
v0105,bar-club
v0106,bar-club
v0107,park-neighborhood
v0108,museum-library-attraction-casino
v0109,arts-theatre
v0110,bar-club
v0111,restaurant-coffeeshop
v0112,shopping
v0113,bar-club
v0114,restaurant-coffeeshop
v0115,bar-club
v0116,sports-gamingvenue
v0117,sports-gamingvenue
v0118,shopping
v0119,restaurant-coffeeshop
v0120,park-neighborhood
v0121,bar-club
v0122,restaurant-coffeeshop
v0123,shopping
v0124,restaurant-coffeeshop
v0125,restaurant-coffeeshop
v0126,school-college-university
v0127,bar-club
v0128,restaurant-coffeeshop
v0129,arts-theatre
v0130,bar-club
v0131,restaurant-coffeeshop
v0132,bar-club
v0133,shopping
v0134,restaurant-coffeeshop
v0135,restaurant-coffeeshop
v0136,restaurant-coffeeshop
v0137,restaurant-coffeeshop
v0138,bar-club
v0139,bar-club
v0140,bar-club
v0141,bar-club
v0142,restaurant-coffeeshop
v0143,museum-library-attraction-casino
v0144,park-neighborhood
v0145,park-neighborhood
v0146,shopping
v0147,restaurant-coffeeshop
v0148,restaurant-coffeeshop
v0149,restaurant-coffeeshop
v0150,shopping
v0151,restaurant-coffeeshop
v0152,restaurant-coffeeshop
v0153,restaurant-coffeeshop
v0154,somethingelse
v0155,shopping
v0156,restaurant-coffeeshop
v0157,bar-club
v0158,park-neighborhood
v0159,bar-club
v0160,park-neighborhood
v0161,somethingelse
v0162,restaurant-coffeeshop
v0163,school-college-university
v0164,bar-club
v0165,school-college-university
v0166,park-neighborhood
v0167,school-college-university
v0168,school-college-university
v0169,bar-club
v0170,restaurant-coffeeshop
v0171,restaurant-coffeeshop
v0172,restaurant-coffeeshop
v0173,restaurant-coffeeshop
v0174,somethingelse
v0175,restaurant-coffeeshop
v0176,museum-library-attraction-casino
v0177,park-neighborhood
v0178,park-neighborhood
v0179,museum-library-attraction-casino
v0180,park-neighborhood
v0181,sports-gamingvenue
v0182,restaurant-coffeeshop
v0183,restaurant-coffeeshop
v0184,park-neighborhood
v0185,arts-theatre
v0186,restaurant-coffeeshop
v0187,restaurant-coffeeshop
v0188,restaurant-coffeeshop
v0189,restaurant-coffeeshop
v0190,communityorganization
v0191,bar-club
v0192,bar-club
v0193,bar-club
v0194,park-neighborhood
v0195,restaurant-coffeeshop
v0196,bar-club
v0197,bar-club
v0198,park-neighborhood
v0199,shopping
v0200,arts-theatre
v0201,restaurant-coffeeshop
v0202,restaurant-coffeeshop
v0203,restaurant-coffeeshop
v0204,communityorganization
v0205,restaurant-coffeeshop
v0206,park-neighborhood
v0207,park-neighborhood
v0208,restaurant-coffeeshop
v0209,restaurant-coffeeshop
v0210,bar-club
v0211,restaurant-coffeeshop
v0212,restaurant-coffeeshop
v0213,bar-club
v0214,restaurant-coffeeshop
v0215,bar-club
v0216,bar-club
v0217,restaurant-coffeeshop
v0218,bar-club
v0219,sports-gamingvenue
v0220,bar-club
v0221,shopping
v0222,restaurant-coffeeshop
v0223,museum-library-attraction-casino
v0224,communityorganization
v0225,restaurant-coffeeshop
v0226,restaurant-coffeeshop
v0227,bar-club
v0228,sports-gamingvenue
v0229,restaurant-coffeeshop
v0230,restaurant-coffeeshop
v0231,restaurant-coffeeshop
v0232,restaurant-coffeeshop
v0233,arts-theatre
v0234,bar-club
v0235,school-college-university
v0236,shopping
v0237,restaurant-coffeeshop
v0238,bar-club
v0239,park-neighborhood
v0240,sports-gamingvenue
v0241,restaurant-coffeeshop
v0242,park-neighborhood
v0243,restaurant-coffeeshop
v0244,museum-library-attraction-casino
v0245,bar-club
v0246,restaurant-coffeeshop
v0247,bar-club
v0248,bar-club
v0249,restaurant-coffeeshop
v0250,somethingelse
v0251,school-college-university
v0252,somethingelse
v0253,somethingelse
v0254,school-college-university
v0255,bar-club
v0256,arts-theatre
v0257,somethingelse
v0258,arts-theatre
v0259,park-neighborhood
v0260,bar-club
v0261,park-neighborhood
v0262,school-college-university
v0263,park-neighborhood
v0264,park-neighborhood
v0265,school-college-university
v0266,park-neighborhood
v0267,shopping
v0268,school-college-university
v0269,restaurant-coffeeshop
v0270,school-college-university
v0271,somethingelse
v0272,communityorganization
v0273,restaurant-coffeeshop
v0274,park-neighborhood
v0275,arts-theatre
v0276,park-neighborhood
v0277,sports-gamingvenue
v0278,bar-club
v0279,bar-club
v0280,bar-club
v0281,restaurant-coffeeshop
v0282,restaurant-coffeeshop
v0283,restaurant-coffeeshop
v0284,communityorganization
v0285,restaurant-coffeeshop
v0286,restaurant-coffeeshop
v0287,restaurant-coffeeshop
v0288,restaurant-coffeeshop
v0289,bar-club
v0290,restaurant-coffeeshop
v0291,restaurant-coffeeshop
v0292,bar-club
v0293,shopping
v0294,bar-club
v0295,restaurant-coffeeshop
v0296,sports-gamingvenue
v0297,sports-gamingvenue
v0298,park-neighborhood
v0299,bar-club
v0300,bar-club
v0301,park-neighborhood
v0302,restaurant-coffeeshop
v0303,bar-club
v0304,restaurant-coffeeshop
v0305,restaurant-coffeeshop
v0306,restaurant-coffeeshop
v0307,restaurant-coffeeshop
v0308,restaurant-coffeeshop
v0309,restaurant-coffeeshop
v0310,restaurant-coffeeshop
v0311,restaurant-coffeeshop
v0312,park-neighborhood
v0313,somethingelse
v0314,restaurant-coffeeshop
v0315,restaurant-coffeeshop
v0316,restaurant-coffeeshop
v0317,restaurant-coffeeshop
v0318,sports-gamingvenue
v0319,bar-club
v0320,restaurant-coffeeshop
v0321,sports-gamingvenue
v0322,restaurant-coffeeshop
v0323,restaurant-coffeeshop
v0324,restaurant-coffeeshop
v0325,restaurant-coffeeshop
v0326,park-neighborhood
v0327,shopping
v0328,school-college-university
v0329,restaurant-coffeeshop
v0330,restaurant-coffeeshop
v0331,shopping
v0332,arts-theatre
v0333,restaurant-coffeeshop
v0334,school-college-university
v0335,sports-gamingvenue
v0336,park-neighborhood
v0337,bar-club
v0338,restaurant-coffeeshop
v0339,bar-club
v0340,bar-club
v0341,bar-club
v0342,bar-club
v0343,bar-club
v0344,restaurant-coffeeshop
v0345,restaurant-coffeeshop
v0346,arts-theatre
v0347,bar-club
v0348,bar-club
v0349,park-neighborhood
v0350,restaurant-coffeeshop
v0351,restaurant-coffeeshop
v0352,somethingelse
v0353,park-neighborhood
v0354,restaurant-coffeeshop
v0355,restaurant-coffeeshop
v0356,bar-club
v0357,bar-club
v0358,park-neighborhood
v0359,park-neighborhood
v0360,park-neighborhood
v0361,bar-club
v0362,restaurant-coffeeshop
v0363,restaurant-coffeeshop
v0364,bar-club
v0365,bar-club
v0366,bar-club
v0367,bar-club
v0368,restaurant-coffeeshop
v0369,bar-club
v0370,park-neighborhood
v0371,shopping
v0372,park-neighborhood
v0373,restaurant-coffeeshop
v0374,somethingelse
v0375,restaurant-coffeeshop
v0376,restaurant-coffeeshop
v0377,museum-library-attraction-casino
v0378,bar-club
v0379,restaurant-coffeeshop
v0380,bar-club
v0381,restaurant-coffeeshop
v0382,bar-club
v0383,park-neighborhood
v0384,somethingelse
v0385,communityorganization
v0386,restaurant-coffeeshop
v0387,museum-library-attraction-casino
v0388,school-college-university
v0389,museum-library-attraction-casino
v0390,school-college-university
v0391,park-neighborhood
v0392,restaurant-coffeeshop
v0393,restaurant-coffeeshop
v0394,bar-club
v0395,restaurant-coffeeshop
v0396,arts-theatre
v0397,park-neighborhood
v0398,bar-club
v0399,school-college-university
v0400,shopping
v0401,arts-theatre
v0402,arts-theatre
v0403,restaurant-coffeeshop
v0404,museum-library-attraction-casino
v0405,restaurant-coffeeshop
v0406,shopping
v0407,restaurant-coffeeshop
v0408,restaurant-coffeeshop
v0409,restaurant-coffeeshop
v0410,restaurant-coffeeshop
v0411,bar-club
v0412,restaurant-coffeeshop
v0413,school-college-university
v0414,shopping
v0415,shopping
v0416,restaurant-coffeeshop
v0417,restaurant-coffeeshop
v0418,restaurant-coffeeshop
v0419,restaurant-coffeeshop
v0420,school-college-university
v0421,museum-library-attraction-casino
v0422,museum-library-attraction-casino
v0423,somethingelse
v0424,bar-club
v0425,restaurant-coffeeshop
v0426,restaurant-coffeeshop
v0427,park-neighborhood
v0428,restaurant-coffeeshop
v0429,restaurant-coffeeshop
v0430,museum-library-attraction-casino
v0431,museum-library-attraction-casino
v0432,restaurant-coffeeshop
v0433,restaurant-coffeeshop
v0434,museum-library-attraction-casino
v0435,sports-gamingvenue
v0436,bar-club
v0437,bar-club
v0438,bar-club
v0439,park-neighborhood
v0440,restaurant-coffeeshop
v0441,restaurant-coffeeshop
v0442,sports-gamingvenue
v0443,bar-club
v0444,somethingelse
v0445,somethingelse
v0446,park-neighborhood
v0447,somethingelse
v0448,bar-club
v0449,museum-library-attraction-casino
v0450,restaurant-coffeeshop
v0451,park-neighborhood
v0452,communityorganization
v0453,restaurant-coffeeshop
v0454,park-neighborhood
v0455,park-neighborhood
v0456,somethingelse
v0457,restaurant-coffeeshop
v0458,museum-library-attraction-casino
v0459,arts-theatre
v0460,park-neighborhood
v0461,restaurant-coffeeshop
v0462,park-neighborhood
v0463,somethingelse
v0464,park-neighborhood
v0465,park-neighborhood
v0466,restaurant-coffeeshop
v0467,restaurant-coffeeshop
v0468,sports-gamingvenue
v0469,restaurant-coffeeshop
v0470,somethingelse
v0471,somethingelse
v0472,restaurant-coffeeshop
v0473,sports-gamingvenue
v0474,arts-theatre
v0475,shopping
v0476,bar-club
v0477,restaurant-coffeeshop
v0478,bar-club
v0479,bar-club
v0480,bar-club
v0481,shopping
v0482,school-college-university
v0483,restaurant-coffeeshop
v0484,bar-club
v0485,bar-club
v0486,restaurant-coffeeshop
v0487,school-college-university
v0488,bar-club
v0489,bar-club
v0490,restaurant-coffeeshop
v0491,restaurant-coffeeshop
v0492,restaurant-coffeeshop
v0493,bar-club
v0494,restaurant-coffeeshop
v0495,restaurant-coffeeshop
v0496,park-neighborhood
v0497,restaurant-coffeeshop
v0498,communityorganization
v0499,restaurant-coffeeshop
v0500,bar-club
v0501,restaurant-coffeeshop
v0502,sports-gamingvenue
v0503,restaurant-coffeeshop
v0504,bar-club
v0505,bar-club
v0506,restaurant-coffeeshop
v0507,park-neighborhood
v0508,park-neighborhood
v0509,communityorganization
v0510,park-neighborhood
v0511,park-neighborhood
v0512,restaurant-coffeeshop
v0513,arts-theatre
v0514,restaurant-coffeeshop
v0515,restaurant-coffeeshop
v0516,shopping
v0517,park-neighborhood
v0518,restaurant-coffeeshop
v0519,somethingelse
v0520,bar-club
v0521,restaurant-coffeeshop
v0522,restaurant-coffeeshop
v0523,restaurant-coffeeshop
v0524,bar-club
v0525,park-neighborhood
v0526,restaurant-coffeeshop
v0527,bar-club
v0528,shopping
v0529,bar-club
v0530,shopping
v0531,restaurant-coffeeshop
v0532,restaurant-coffeeshop
v0533,shopping
v0534,restaurant-coffeeshop
v0535,bar-club
v0536,restaurant-coffeeshop
v0537,restaurant-coffeeshop
v0538,restaurant-coffeeshop
v0539,bar-club
v0540,shopping
v0541,restaurant-coffeeshop
v0542,restaurant-coffeeshop
v0543,restaurant-coffeeshop
v0544,bar-club
v0545,arts-theatre
v0546,bar-club
v0547,restaurant-coffeeshop
v0548,arts-theatre
v0549,park-neighborhood
v0550,bar-club
v0551,bar-club
v0552,bar-club
v0553,arts-theatre
v0554,communityorganization
v0555,shopping
v0556,restaurant-coffeeshop
v0557,shopping
v0558,restaurant-coffeeshop
v0559,shopping
v0560,restaurant-coffeeshop
v0561,shopping
v0562,park-neighborhood
v0563,restaurant-coffeeshop
v0564,restaurant-coffeeshop
v0565,arts-theatre
v0566,arts-theatre
v0567,restaurant-coffeeshop
v0568,restaurant-coffeeshop
v0569,bar-club
v0570,restaurant-coffeeshop
v0571,park-neighborhood
v0572,park-neighborhood
v0573,communityorganization
v0574,bar-club
v0575,bar-club
v0576,museum-library-attraction-casino
v0577,park-neighborhood
v0578,school-college-university
v0579,restaurant-coffeeshop
v0580,restaurant-coffeeshop
v0581,park-neighborhood
v0582,park-neighborhood
v0583,restaurant-coffeeshop
v0584,restaurant-coffeeshop
v0585,somethingelse
v0586,restaurant-coffeeshop
v0587,bar-club
v0588,bar-club
v0589,sports-gamingvenue
v0590,park-neighborhood
v0591,restaurant-coffeeshop
v0592,restaurant-coffeeshop
v0593,bar-club
v0594,restaurant-coffeeshop
v0595,school-college-university
v0596,restaurant-coffeeshop
v0597,sports-gamingvenue
v0598,park-neighborhood
v0599,museum-library-attraction-casino
v0600,restaurant-coffeeshop
v0601,arts-theatre
v0602,sports-gamingvenue
v0603,park-neighborhood
v0604,communityorganization
v0605,restaurant-coffeeshop
v0606,restaurant-coffeeshop
v0607,restaurant-coffeeshop
v0608,bar-club
v0609,bar-club
v0610,restaurant-coffeeshop
v0611,restaurant-coffeeshop
v0612,restaurant-coffeeshop
v0613,restaurant-coffeeshop
v0614,shopping
v0615,restaurant-coffeeshop
v0616,sports-gamingvenue
v0617,shopping
v0618,bar-club
v0619,restaurant-coffeeshop
v0620,sports-gamingvenue
v0621,bar-club
v0622,shopping
v0623,bar-club
v0624,shopping
v0625,bar-club
v0626,restaurant-coffeeshop
v0627,bar-club
v0628,restaurant-coffeeshop
v0629,park-neighborhood
v0630,bar-club
v0631,bar-club
v0632,restaurant-coffeeshop
v0633,museum-library-attraction-casino
v0634,restaurant-coffeeshop
v0635,restaurant-coffeeshop
v0636,restaurant-coffeeshop
v0637,bar-club
v0638,restaurant-coffeeshop
v0639,restaurant-coffeeshop
v0640,restaurant-coffeeshop
v0641,restaurant-coffeeshop
v0642,bar-club
v0643,restaurant-coffeeshop
v0644,restaurant-coffeeshop
v0645,park-neighborhood
v0646,restaurant-coffeeshop
v0647,restaurant-coffeeshop
v0648,bar-club
v0649,bar-club
v0650,restaurant-coffeeshop
v0651,restaurant-coffeeshop
v0652,sports-gamingvenue
v0653,bar-club
v0654,restaurant-coffeeshop
v0655,park-neighborhood
v0656,school-college-university
v0657,arts-theatre
v0658,communityorganization
v0659,park-neighborhood
v0660,restaurant-coffeeshop
v0661,communityorganization
v0662,sports-gamingvenue
v0663,bar-club
v0664,park-neighborhood
v0665,park-neighborhood
v0666,bar-club
v0667,park-neighborhood
v0668,museum-library-attraction-casino
v0669,restaurant-coffeeshop
v0670,restaurant-coffeeshop
v0671,restaurant-coffeeshop
v0672,restaurant-coffeeshop
v0673,restaurant-coffeeshop
v0674,school-college-university
v0675,restaurant-coffeeshop
v0676,restaurant-coffeeshop
v0677,communityorganization
v0678,sports-gamingvenue
v0679,communityorganization
v0680,shopping
v0681,park-neighborhood
v0682,restaurant-coffeeshop
v0683,shopping
v0684,bar-club
v0685,shopping
v0686,restaurant-coffeeshop
v0687,shopping
v0688,bar-club
v0689,school-college-university
v0690,communityorganization
v0691,restaurant-coffeeshop
v0692,arts-theatre
v0693,bar-club
v0694,restaurant-coffeeshop
v0695,bar-club
v0696,restaurant-coffeeshop
v0697,park-neighborhood
v0698,school-college-university
v0699,park-neighborhood
v0700,restaurant-coffeeshop
v0701,arts-theatre
v0702,park-neighborhood
v0703,restaurant-coffeeshop
v0704,arts-theatre
v0705,restaurant-coffeeshop
v0706,park-neighborhood
v0707,school-college-university
v0708,school-college-university
v0709,bar-club
v0710,restaurant-coffeeshop
v0711,park-neighborhood
v0712,restaurant-coffeeshop
v0713,arts-theatre
v0714,school-college-university
v0715,bar-club
v0716,arts-theatre
v0717,arts-theatre
v0718,bar-club
v0719,somethingelse
v0720,restaurant-coffeeshop
v0721,bar-club
v0722,restaurant-coffeeshop
v0723,park-neighborhood
v0724,communityorganization
v0725,bar-club
v0726,bar-club
v0727,restaurant-coffeeshop
v0728,restaurant-coffeeshop
v0729,school-college-university
v0730,restaurant-coffeeshop
v0731,arts-theatre
v0732,restaurant-coffeeshop
v0733,restaurant-coffeeshop
v0734,museum-library-attraction-casino
v0735,restaurant-coffeeshop
v0736,shopping
v0737,restaurant-coffeeshop
v0738,bar-club
v0739,shopping
v0740,bar-club
v0741,shopping
v0742,restaurant-coffeeshop
v0743,restaurant-coffeeshop
v0744,shopping
v0745,restaurant-coffeeshop
v0746,bar-club
v0747,restaurant-coffeeshop
v0748,restaurant-coffeeshop
v0749,shopping
v0750,shopping
v0751,restaurant-coffeeshop
v0752,restaurant-coffeeshop
v0753,restaurant-coffeeshop
v0754,restaurant-coffeeshop
v0755,restaurant-coffeeshop
v0756,restaurant-coffeeshop
v0757,restaurant-coffeeshop
v0758,restaurant-coffeeshop
v0759,restaurant-coffeeshop
v0760,restaurant-coffeeshop
v0761,restaurant-coffeeshop
v0762,bar-club
v0763,bar-club
v0764,bar-club
v0765,bar-club
v0766,restaurant-coffeeshop
v0767,restaurant-coffeeshop
v0768,bar-club
v0769,bar-club
v0770,school-college-university
v0771,bar-club
v0772,bar-club
v0773,bar-club
v0774,restaurant-coffeeshop
v0775,restaurant-coffeeshop
v0776,restaurant-coffeeshop
v0777,restaurant-coffeeshop
v0778,bar-club
v0779,restaurant-coffeeshop
v0780,restaurant-coffeeshop
v0781,bar-club
v0782,bar-club
v0783,bathhouse
v0784,restaurant-coffeeshop
v0785,restaurant-coffeeshop
v0786,restaurant-coffeeshop
v0787,bar-club
v0788,somethingelse
v0789,arts-theatre
v0790,park-neighborhood
v0791,bar-club
v0792,park-neighborhood
v0793,park-neighborhood
v0794,park-neighborhood
v0795,restaurant-coffeeshop
v0796,restaurant-coffeeshop
v0797,park-neighborhood
v0798,communityorganization
v0799,restaurant-coffeeshop
v0800,sports-gamingvenue
v0801,museum-library-attraction-casino
v0802,restaurant-coffeeshop
v0803,restaurant-coffeeshop
v0804,restaurant-coffeeshop
v0805,restaurant-coffeeshop
v0806,bar-club
v0807,park-neighborhood
v0808,communityorganization
v0809,restaurant-coffeeshop
v0810,bar-club
v0811,bar-club
v0812,bar-club
v0813,restaurant-coffeeshop
v0814,bar-club
v0815,restaurant-coffeeshop
v0816,bar-club
v0817,shopping
v0818,bar-club
v0819,restaurant-coffeeshop
v0820,bar-club
v0821,restaurant-coffeeshop
v0822,bar-club
v0823,bar-club
v0824,bar-club
v0825,bar-club
v0826,park-neighborhood
v0827,bar-club
v0828,restaurant-coffeeshop
v0829,park-neighborhood
v0830,arts-theatre
v0831,restaurant-coffeeshop
v0832,restaurant-coffeeshop
v0833,shopping
v0834,park-neighborhood
v0835,restaurant-coffeeshop
v0836,bar-club
v0837,museum-library-attraction-casino
v0838,restaurant-coffeeshop
v0839,bar-club
v0840,bar-club
v0841,sports-gamingvenue
v0842,arts-theatre
v0843,bar-club
v0844,restaurant-coffeeshop
v0845,bar-club
v0846,sports-gamingvenue
v0847,park-neighborhood
v0848,bar-club
v0849,park-neighborhood
v0850,somethingelse
v0851,restaurant-coffeeshop
v0852,restaurant-coffeeshop
v0853,restaurant-coffeeshop
v0854,restaurant-coffeeshop
v0855,restaurant-coffeeshop
v0856,bar-club
v0857,bar-club
v0858,bar-club
v0859,bar-club
v0860,bar-club
v0861,bar-club
v0862,museum-library-attraction-casino
v0863,restaurant-coffeeshop
v0864,restaurant-coffeeshop
v0865,restaurant-coffeeshop
v0866,restaurant-coffeeshop
v0867,restaurant-coffeeshop
v0868,bar-club
v0869,bar-club
v0870,bar-club
v0871,bar-club
v0872,bar-club
v0873,restaurant-coffeeshop
v0874,park-neighborhood
v0875,somethingelse
v0876,bar-club
v0877,arts-theatre
v0878,restaurant-coffeeshop
v0879,arts-theatre
v0880,shopping
v0881,restaurant-coffeeshop
v0882,restaurant-coffeeshop
v0883,restaurant-coffeeshop
v0884,restaurant-coffeeshop
v0885,restaurant-coffeeshop
v0886,arts-theatre
v0887,bar-club
v0888,park-neighborhood
v0889,arts-theatre
v0890,bar-club
v0891,restaurant-coffeeshop
v0892,sports-gamingvenue
v0893,sports-gamingvenue
v0894,bar-club
v0895,park-neighborhood
v0896,restaurant-coffeeshop
v0897,shopping
v0898,bar-club
v0899,restaurant-coffeeshop
v0900,bar-club
v0901,somethingelse
v0902,bar-club
v0903,shopping
v0904,bar-club
v0905,bar-club
v0906,restaurant-coffeeshop
v0907,restaurant-coffeeshop
v0908,restaurant-coffeeshop
v0909,shopping
v0910,restaurant-coffeeshop
v0911,restaurant-coffeeshop
v0912,communityorganization
v0913,park-neighborhood
v0914,restaurant-coffeeshop
v0915,sports-gamingvenue
v0916,bar-club
v0917,bar-club
v0918,arts-theatre
v0919,somethingelse
v0920,bar-club
v0921,bar-club
v0922,restaurant-coffeeshop
v0923,communityorganization
v0924,communityorganization
v0925,somethingelse
v0926,park-neighborhood
v0927,bar-club
v0928,park-neighborhood
v0929,park-neighborhood
v0930,bar-club
v0931,restaurant-coffeeshop
v0932,somethingelse
v0933,park-neighborhood
v0934,bar-club
v0935,restaurant-coffeeshop
v0936,museum-library-attraction-casino
v0937,school-college-university
v0938,restaurant-coffeeshop
v0939,restaurant-coffeeshop
v0940,somethingelse
v0941,restaurant-coffeeshop
v0942,restaurant-coffeeshop
v0943,bar-club
v0944,shopping
v0945,restaurant-coffeeshop
v0946,park-neighborhood
v0947,arts-theatre
v0948,restaurant-coffeeshop
v0949,bar-club
v0950,sports-gamingvenue
v0951,bar-club
v0952,restaurant-coffeeshop
v0953,park-neighborhood
v0954,bar-club
v0955,bar-club
v0956,shopping
v0957,communityorganization
v0958,bar-club
v0959,restaurant-coffeeshop
v0960,communityorganization
v0961,bar-club
v0962,somethingelse
v0963,bar-club
v0964,restaurant-coffeeshop
v0965,park-neighborhood
v0966,bar-club
v0967,restaurant-coffeeshop
v0968,restaurant-coffeeshop
v0969,restaurant-coffeeshop
v0970,arts-theatre
v0971,somethingelse
v0972,bar-club
v0973,restaurant-coffeeshop
v0974,bar-club
v0975,bar-club
v0976,restaurant-coffeeshop
v0977,restaurant-coffeeshop
v0978,restaurant-coffeeshop
v0979,bar-club
v0980,shopping
v0981,shopping
v0982,restaurant-coffeeshop
v0983,communityorganization
v0984,bar-club
v0985,bar-club
v0986,bar-club
v0987,arts-theatre
v0988,restaurant-coffeeshop
v0989,restaurant-coffeeshop
v0990,bar-club
v0991,restaurant-coffeeshop
v0992,bar-club
v0993,bar-club
v0994,bar-club
v0995,bathhouse
v0996,park-neighborhood
v0997,bar-club
v0998,bar-club
v0999,restaurant-coffeeshop
v1000,bar-club
v1001,bar-club
v1002,bar-club
v1003,park-neighborhood
v1004,shopping
v1005,restaurant-coffeeshop
v1006,somethingelse
v1007,restaurant-coffeeshop
v1008,bar-club
v1009,restaurant-coffeeshop
v1010,bar-club
v1011,bar-club
v1012,bar-club
v1013,bar-club
v1014,restaurant-coffeeshop
v1015,park-neighborhood
v1016,shopping
v1017,bar-club
v1018,park-neighborhood
v1019,park-neighborhood
v1020,park-neighborhood
v1021,restaurant-coffeeshop
v1022,restaurant-coffeeshop
v1023,restaurant-coffeeshop
v1024,restaurant-coffeeshop
v1025,restaurant-coffeeshop
v1026,restaurant-coffeeshop
v1027,restaurant-coffeeshop
v1028,restaurant-coffeeshop
v1029,restaurant-coffeeshop
v1030,bar-club
v1031,restaurant-coffeeshop
v1032,bar-club
v1033,bar-club
v1034,park-neighborhood
v1035,restaurant-coffeeshop
v1036,park-neighborhood
v1037,restaurant-coffeeshop
v1038,somethingelse
v1039,somethingelse
v1040,restaurant-coffeeshop
v1041,bar-club
v1042,restaurant-coffeeshop
v1043,restaurant-coffeeshop
v1044,restaurant-coffeeshop
v1045,restaurant-coffeeshop
v1046,arts-theatre
v1047,restaurant-coffeeshop
v1048,somethingelse
v1049,bar-club
v1050,arts-theatre
v1051,park-neighborhood
v1052,park-neighborhood
v1053,restaurant-coffeeshop
v1054,bar-club
v1055,restaurant-coffeeshop
v1056,park-neighborhood
v1057,restaurant-coffeeshop
v1058,museum-library-attraction-casino
v1059,restaurant-coffeeshop
v1060,restaurant-coffeeshop
v1061,bar-club
v1062,arts-theatre
v1063,restaurant-coffeeshop
v1064,shopping
v1065,bar-club
v1066,restaurant-coffeeshop
v1067,restaurant-coffeeshop
v1068,sports-gamingvenue
v1069,restaurant-coffeeshop
v1070,restaurant-coffeeshop
v1071,restaurant-coffeeshop
v1072,restaurant-coffeeshop
v1073,bar-club
v1074,school-college-university
v1075,park-neighborhood
v1076,communityorganization
v1077,bar-club
v1078,restaurant-coffeeshop
v1079,museum-library-attraction-casino
v1080,school-college-university
v1081,school-college-university
v1082,shopping
v1083,school-college-university
v1084,bar-club
v1085,bar-club
v1086,bar-club
v1087,restaurant-coffeeshop
v1088,bar-club
v1089,somethingelse
v1090,restaurant-coffeeshop
v1091,park-neighborhood
v1092,bar-club
v1093,communityorganization
v1094,park-neighborhood
v1095,school-college-university
v1096,bar-club
v1097,school-college-university
v1098,park-neighborhood
v1099,park-neighborhood
v1100,restaurant-coffeeshop
v1101,restaurant-coffeeshop
v1102,museum-library-attraction-casino
v1103,shopping
v1104,sports-gamingvenue
v1105,school-college-university
v1106,bar-club
v1107,restaurant-coffeeshop
v1108,somethingelse
v1109,restaurant-coffeeshop
v1110,museum-library-attraction-casino
v1111,restaurant-coffeeshop
v1112,bar-club
v1113,arts-theatre
v1114,restaurant-coffeeshop
v1115,museum-library-attraction-casino
v1116,park-neighborhood
v1117,shopping
v1118,restaurant-coffeeshop
